Pearson_cc	cycle_cover	cycle_abundance	P-value
0.993714113791	2 3 4 6 7 	(1, 2, 2, 5, 2)	3.22242931498e-27
0.993714113791	1 3 4 5 6 7 	(1, 2, 1, 1, 4, 2)	3.22242931498e-27
0.993454486402	1 3 4 5 6 7 	(2, 3, 1, 2, 5, 3)	5.55671118004e-27
0.992074393843	1 3 4 5 6 7 	(1, 2, 2, 1, 5, 3)	7.29486449098e-26
0.991434448876	1 3 4 5 6 7 	(2, 3, 1, 2, 4, 2)	2.07325268129e-25
0.991434448876	1 2 3 4 5 6 7 	(1, 1, 3, 2, 1, 5, 2)	2.07325268129e-25
0.991087651442	1 3 4 5 6 7 	(1, 2, 1, 1, 3, 1)	3.53565552368e-25
0.991087651442	2 3 4 6 7 	(1, 2, 2, 4, 1)	3.53565552368e-25
0.990770226673	1 3 4 5 6 7 	(2, 4, 1, 2, 5, 2)	5.66042874809e-25
0.989982758593	1 3 4 5 6 7 	(2, 3, 2, 2, 5, 3)	1.70165587592e-24
0.989721771117	1 3 4 5 6 7 	(2, 3, 1, 1, 5, 2)	2.40439701841e-24
0.989698725153	1 3 4 5 6 7 	(2, 3, 1, 2, 5, 2)	2.47787270211e-24
0.989256874347	1 3 4 5 6 7 	(1, 3, 2, 1, 5, 2)	4.35705325669e-24
0.988288301038	1 3 4 5 6 7 	(2, 3, 1, 1, 5, 3)	1.38943364967e-23
0.988230715798	1 3 4 5 6 7 	(1, 2, 2, 1, 4, 2)	1.48405005459e-23
0.988230715798	2 3 4 6 7 	(1, 2, 3, 5, 2)	1.48405005459e-23
0.987912725276	1 3 4 5 6 7 	(2, 3, 2, 2, 5, 2)	2.12299187516e-23
0.987476264948	1 3 4 5 6 7 	(3, 4, 1, 3, 5, 3)	3.41832451584e-23
0.987440047613	1 3 4 5 6 7 	(1, 2, 2, 1, 5, 2)	3.55346383509e-23
0.987201751577	1 3 4 5 6 7 	(1, 3, 1, 1, 5, 2)	4.57341533211e-23
0.986913264308	1 3 4 5 6 7 	(1, 3, 2, 2, 5, 2)	6.16876404794e-23
0.986793883076	1 3 4 5 6 7 	(1, 3, 2, 2, 5, 3)	6.96844865196e-23
0.98653717349	2 3 4 6 7 	(1, 2, 2, 4, 2)	9.02315747634e-23
0.98653717349	1 3 4 5 6 7 	(1, 2, 1, 1, 3, 2)	9.02315747634e-23
0.986473752834	1 3 4 5 6 7 	(1, 2, 1, 1, 5, 3)	9.61062760338e-23
0.986444717507	1 3 4 5 6 7 	(2, 3, 2, 3, 5, 3)	9.8912199241e-23
0.986112596629	1 3 4 5 6 7 	(1, 2, 1, 1, 4, 3)	1.36874924059e-22
0.986112596629	2 3 4 6 7 	(1, 2, 2, 5, 3)	1.36874924059e-22
0.985708321899	1 3 4 5 6 7 	(2, 4, 1, 2, 5, 3)	2.01157038952e-22
0.985627637119	1 3 4 5 6 7 	(1, 2, 2, 2, 5, 3)	2.16938603029e-22
0.985600258718	2 3 4 6 7 	(1, 1, 2, 4, 2)	2.22548753523e-22
0.985600258718	1 3 4 5 6 7 	(1, 1, 1, 1, 3, 2)	2.22548753523e-22
0.985509866965	1 3 4 5 6 7 	(2, 3, 1, 2, 5, 4)	2.42038247943e-22
0.985396503268	1 3 4 5 6 7 	(2, 4, 1, 3, 5, 2)	2.68711478319e-22
0.985385393739	1 3 4 5 6 7 	(2, 4, 1, 3, 5, 3)	2.71466655108e-22
0.985370149451	1 3 4 5 6 7 	(3, 4, 1, 3, 5, 2)	2.75289797767e-22
0.985367426378	1 3 4 5 6 7 	(2, 2, 1, 2, 4, 3)	2.75977942532e-22
0.985367426378	1 2 3 4 5 6 7 	(1, 1, 2, 2, 1, 5, 3)	2.75977942532e-22
0.985109255152	1 3 4 5 6 7 	(2, 4, 2, 2, 5, 2)	3.48947170407e-22
0.985108859964	1 3 4 5 6 7 	(2, 4, 2, 3, 5, 2)	3.49071403671e-22
0.984864766391	1 3 4 5 6 7 	(2, 2, 1, 1, 5, 3)	4.34129457245e-22
0.984345922968	1 3 4 5 6 7 	(2, 3, 1, 3, 5, 3)	6.82207817411e-22
0.984216201569	1 3 4 5 6 7 	(2, 3, 1, 2, 4, 3)	7.62028805841e-22
0.984216201569	1 2 3 4 5 6 7 	(1, 1, 3, 2, 1, 5, 3)	7.62028805841e-22
0.984172147996	1 3 4 5 6 7 	(2, 4, 2, 3, 5, 3)	7.91043595794e-22
0.984088145081	1 3 4 5 6 7 	(1, 3, 2, 1, 5, 3)	8.49221221745e-22
0.983924136512	1 3 4 5 6 7 	(2, 2, 2, 2, 5, 4)	9.74373963486e-22
0.983763908431	1 3 4 5 6 7 	(2, 2, 2, 2, 5, 3)	1.11292222844e-21
0.983757921947	1 3 4 5 6 7 	(1, 2, 2, 1, 5, 4)	1.11843550551e-21
0.983538822986	1 2 3 4 5 6 7 	(1, 1, 3, 1, 1, 5, 2)	1.33848553558e-21
0.983538822986	1 3 5 6 7 	(2, 3, 2, 4, 2)	1.33848553558e-21
0.983498456841	1 3 4 5 6 7 	(2, 3, 2, 3, 5, 4)	1.38315398589e-21
0.983465221891	1 3 4 5 6 7 	(1, 3, 1, 1, 4, 1)	1.42096174232e-21
0.983465221891	2 3 4 6 7 	(1, 3, 2, 5, 1)	1.42096174232e-21
0.983342635052	1 3 4 5 6 7 	(1, 2, 2, 2, 5, 4)	1.56883534082e-21
0.983177762761	1 3 4 5 6 7 	(2, 2, 1, 2, 5, 4)	1.79020690846e-21
0.983177141827	1 3 4 5 6 7 	(2, 4, 1, 2, 5, 1)	1.79109266348e-21
0.983122196718	1 3 4 5 6 7 	(1, 3, 1, 1, 5, 3)	1.87109576462e-21
0.982989462805	1 3 5 6 7 	(3, 4, 3, 5, 3)	2.07819608014e-21
