Pearson_cc	cycle_cover	cycle_abundance	P-value
0.990062080587	1 3 4 5 6 7 	(1, 8, 6, 1, 6, 16)	1.5291920931e-24
0.990062080587	2 3 4 6 7 	(1, 8, 7, 6, 17)	1.5291920931e-24
0.989922276181	2 3 4 6 7 	(1, 7, 6, 5, 15)	1.84506396762e-24
0.989922276181	1 3 4 5 6 7 	(1, 7, 5, 1, 5, 14)	1.84506396762e-24
0.989921241364	1 3 4 5 6 7 	(1, 9, 7, 1, 7, 19)	1.84761211443e-24
0.989871829375	1 3 4 5 6 7 	(1, 9, 7, 1, 7, 18)	1.97314448969e-24
0.989871829375	2 3 4 6 7 	(1, 9, 8, 7, 19)	1.97314448969e-24
0.989828235221	1 3 4 5 6 7 	(1, 9, 6, 1, 6, 17)	2.09040179605e-24
0.989828235221	2 3 4 6 7 	(1, 9, 7, 6, 18)	2.09040179605e-24
0.989756561524	2 3 4 6 7 	(1, 8, 7, 7, 18)	2.29728809414e-24
0.989756561524	1 3 4 5 6 7 	(1, 8, 6, 1, 7, 17)	2.29728809414e-24
0.989749298606	1 3 4 5 6 7 	(1, 10, 7, 1, 7, 19)	2.31927680371e-24
0.989748337801	1 3 4 5 6 7 	(1, 9, 7, 1, 8, 19)	2.32220021092e-24
0.989745003125	2 3 4 6 7 	(1, 6, 5, 4, 12)	2.33237298112e-24
0.989745003125	1 3 4 5 6 7 	(1, 6, 4, 1, 4, 11)	2.33237298112e-24
0.98973085646	2 3 4 6 7 	(1, 9, 8, 6, 19)	2.37598903033e-24
0.98973085646	1 3 4 5 6 7 	(1, 9, 7, 1, 6, 18)	2.37598903033e-24
0.989643007384	1 3 4 5 6 7 	(2, 10, 6, 1, 7, 19)	2.66418195865e-24
0.989638867914	2 3 4 6 7 	(1, 9, 7, 7, 19)	2.67852813595e-24
0.989638867914	1 3 4 5 6 7 	(1, 9, 6, 1, 7, 18)	2.67852813595e-24
0.989621609851	1 2 3 4 6 7 	(1, 1, 9, 7, 7, 19)	2.73911309773e-24
0.989621609851	1 3 4 5 6 7 	(2, 9, 6, 1, 7, 18)	2.73911309773e-24
0.989596180952	1 3 4 5 6 7 	(1, 7, 6, 1, 6, 15)	2.83069559292e-24
0.989596180952	2 3 4 6 7 	(1, 7, 7, 6, 16)	2.83069559292e-24
0.989561204181	1 3 4 5 6 7 	(1, 10, 7, 1, 6, 19)	2.96129821845e-24
0.989556021229	1 3 4 5 6 7 	(1, 8, 5, 1, 5, 15)	2.98111879169e-24
0.989556021229	2 3 4 6 7 	(1, 8, 6, 5, 16)	2.98111879169e-24
0.989552708855	1 3 4 5 6 7 	(2, 10, 7, 2, 7, 19)	2.99385014056e-24
0.989541332794	2 3 4 6 7 	(1, 6, 5, 5, 13)	3.03795893989e-24
0.989541332794	1 3 4 5 6 7 	(1, 6, 4, 1, 5, 12)	3.03795893989e-24
0.989512627066	2 3 4 6 7 	(1, 8, 8, 7, 19)	3.15194759033e-24
0.989512627066	1 3 4 5 6 7 	(1, 8, 7, 1, 7, 18)	3.15194759033e-24
0.989502683819	2 3 4 6 7 	(1, 7, 6, 6, 15)	3.19234552113e-24
0.989502683819	1 3 4 5 6 7 	(1, 7, 5, 1, 6, 14)	3.19234552113e-24
0.989452524749	1 3 4 5 6 7 	(1, 9, 8, 1, 7, 19)	3.4035390398e-24
0.989444756048	2 3 4 6 7 	(1, 8, 8, 7, 18)	3.43738180593e-24
0.989444756048	1 3 4 5 6 7 	(1, 8, 7, 1, 7, 17)	3.43738180593e-24
0.989441915841	1 3 4 5 6 7 	(1, 8, 6, 1, 5, 15)	3.44983211952e-24
0.989441915841	2 3 4 6 7 	(1, 8, 7, 5, 16)	3.44983211952e-24
0.989429412161	1 3 4 5 6 7 	(1, 7, 5, 1, 5, 13)	3.50514093495e-24
0.989429412161	2 3 4 6 7 	(1, 7, 6, 5, 14)	3.50514093495e-24
0.989412101815	1 3 4 5 6 7 	(2, 10, 6, 2, 7, 18)	3.58306646136e-24
0.989412101815	1 2 3 4 5 6 7 	(1, 1, 10, 7, 1, 7, 19)	3.58306646136e-24
0.989409105662	1 3 4 5 6 7 	(1, 8, 6, 1, 6, 17)	3.59671578483e-24
0.989409105662	2 3 4 6 7 	(1, 8, 7, 6, 18)	3.59671578483e-24
0.98939532437	1 3 4 5 6 7 	(2, 10, 7, 1, 7, 19)	3.66011985636e-24
0.989376114925	2 3 4 6 7 	(1, 5, 4, 3, 10)	3.75022389279e-24
0.989376114925	1 3 4 5 6 7 	(1, 5, 3, 1, 3, 9)	3.75022389279e-24
0.989376114925	1 2 3 4 5 6 7 	(1, 1, 10, 7, 1, 6, 19)	3.75022389279e-24
0.989376114925	1 3 4 5 6 7 	(2, 10, 6, 2, 6, 18)	3.75022389279e-24
0.989369160338	1 2 3 4 6 7 	(1, 1, 9, 7, 6, 18)	3.78334801797e-24
0.989369160338	1 3 4 5 6 7 	(2, 9, 6, 1, 6, 17)	3.78334801797e-24
0.989365865002	2 3 4 6 7 	(1, 7, 6, 6, 16)	3.79913776849e-24
0.989365865002	1 3 4 5 6 7 	(1, 7, 5, 1, 6, 15)	3.79913776849e-24
0.989359562375	1 3 4 5 6 7 	(1, 6, 5, 1, 5, 13)	3.82950704058e-24
0.989359562375	2 3 4 6 7 	(1, 6, 6, 5, 14)	3.82950704058e-24
0.989355295189	1 3 4 5 6 7 	(2, 10, 6, 2, 7, 19)	3.85019586993e-24
0.98934860683	1 2 3 4 6 7 	(1, 1, 10, 7, 6, 19)	3.88283157894e-24
0.98934860683	1 3 4 5 6 7 	(2, 10, 6, 1, 6, 18)	3.88283157894e-24
0.989333553735	2 3 4 6 7 	(1, 8, 8, 6, 18)	3.95722132458e-24
0.989333553735	1 3 4 5 6 7 	(1, 8, 7, 1, 6, 17)	3.95722132458e-24
