Pearson_cc	cycle_cover	cycle_abundance	P-value
0.99499712401	1 2 3 4 5 6 7 	(2, 1, 5, 3, 2, 9, 4)	1.48919761561e-28
0.99499712401	1 3 4 5 6 7 	(3, 5, 2, 3, 8, 4)	1.48919761561e-28
0.994559178392	1 2 3 4 5 6 7 	(1, 1, 4, 3, 1, 8, 3)	4.61155232117e-28
0.994559178392	1 3 4 5 6 7 	(2, 4, 2, 2, 7, 3)	4.61155232117e-28
0.994559178392	2 3 4 6 7 	(2, 4, 4, 9, 3)	4.61155232117e-28
0.994516886477	1 3 4 5 6 7 	(3, 5, 3, 3, 9, 5)	5.11843443493e-28
0.994493485602	1 3 4 5 6 7 	(3, 5, 2, 3, 9, 5)	5.42059142543e-28
0.994153214527	1 3 4 5 6 7 	(3, 5, 2, 2, 9, 4)	1.21542940388e-27
0.994093918283	1 3 4 5 6 7 	(2, 4, 3, 2, 8, 4)	1.39232444085e-27
0.994093918283	1 2 3 4 5 6 7 	(1, 1, 4, 4, 1, 9, 4)	1.39232444085e-27
0.994039689998	2 3 4 6 7 	(2, 4, 4, 9, 4)	1.57467126812e-27
0.994039689998	1 2 3 4 5 6 7 	(1, 1, 4, 3, 1, 8, 4)	1.57467126812e-27
0.994039689998	1 3 4 5 6 7 	(2, 4, 2, 2, 7, 4)	1.57467126812e-27
0.99400399375	1 3 4 5 6 7 	(3, 6, 2, 3, 9, 4)	1.70650686549e-27
0.99398166562	1 3 4 5 6 7 	(3, 5, 2, 2, 9, 5)	1.7940876593e-27
0.993967607801	1 3 4 5 6 7 	(2, 4, 3, 2, 9, 5)	1.85134345719e-27
0.993714113791	1 2 3 4 5 6 7 	(1, 1, 4, 3, 1, 9, 4)	3.22242931498e-27
0.993714113791	2 3 4 6 7 	(1, 2, 2, 5, 2)	3.22242931498e-27
0.993714113791	1 3 4 5 6 7 	(2, 4, 2, 2, 8, 4)	3.22242931498e-27
0.993714113791	1 3 4 5 6 7 	(1, 2, 1, 1, 4, 2)	3.22242931498e-27
0.993601990253	1 3 4 5 6 7 	(3, 5, 3, 3, 9, 4)	4.08843802185e-27
0.99351065694	1 3 4 5 6 7 	(4, 6, 2, 4, 9, 5)	4.94800057873e-27
0.993495082615	1 3 4 5 6 7 	(2, 5, 3, 2, 9, 4)	5.11027727606e-27
0.993454486402	1 3 4 5 6 7 	(2, 3, 1, 2, 5, 3)	5.55671118004e-27
0.993454486402	1 2 3 4 5 6 7 	(1, 1, 3, 2, 1, 6, 3)	5.55671118004e-27
0.993454486402	2 3 4 6 7 	(2, 3, 3, 7, 3)	5.55671118004e-27
0.993454243404	1 2 3 4 5 6 7 	(2, 1, 5, 3, 1, 9, 4)	5.55948884001e-27
0.993454243404	1 3 4 5 6 7 	(3, 5, 2, 2, 8, 4)	5.55948884001e-27
0.993213080159	1 3 4 5 6 7 	(2, 3, 2, 2, 6, 3)	9.0478904174e-27
0.993213080159	2 3 4 6 7 	(2, 3, 4, 8, 3)	9.0478904174e-27
0.993213080159	1 2 3 4 5 6 7 	(1, 1, 3, 3, 1, 7, 3)	9.0478904174e-27
0.993111081072	1 3 4 5 6 7 	(3, 6, 3, 3, 9, 4)	1.10597820054e-26
0.993103450449	1 3 4 5 6 7 	(4, 6, 2, 3, 9, 4)	1.12258142079e-26
0.992944321264	1 2 3 4 5 6 7 	(2, 1, 5, 3, 2, 9, 5)	1.5260126047e-26
0.992944321264	1 3 4 5 6 7 	(3, 5, 2, 3, 8, 5)	1.5260126047e-26
0.992892907277	1 3 4 5 6 7 	(3, 5, 3, 2, 9, 4)	1.68265763949e-26
0.992868592732	1 3 4 5 6 7 	(3, 5, 2, 3, 9, 4)	1.76180607195e-26
0.992863298632	1 3 4 5 6 7 	(3, 4, 2, 2, 8, 4)	1.7794899057e-26
0.992863298632	1 2 3 4 5 6 7 	(2, 1, 4, 3, 1, 9, 4)	1.7794899057e-26
0.992713579173	1 2 3 4 5 6 7 	(1, 1, 3, 3, 1, 8, 4)	2.35310747415e-26
0.992713579173	2 3 4 6 7 	(2, 3, 4, 9, 4)	2.35310747415e-26
0.992713579173	1 3 4 5 6 7 	(2, 3, 2, 2, 7, 4)	2.35310747415e-26
0.992683444879	1 2 3 4 5 6 7 	(2, 1, 4, 3, 2, 8, 4)	2.48749802131e-26
0.992683444879	1 3 4 5 6 7 	(3, 4, 2, 3, 7, 4)	2.48749802131e-26
0.992683444879	1 2 3 4 5 6 7 	(1, 2, 4, 4, 1, 9, 4)	2.48749802131e-26
0.992669839014	1 2 3 4 5 6 7 	(2, 1, 4, 3, 2, 9, 5)	2.55047407055e-26
0.992669839014	1 3 4 5 6 7 	(3, 4, 2, 3, 8, 5)	2.55047407055e-26
0.992655219978	1 2 3 4 5 6 7 	(2, 1, 4, 3, 1, 9, 5)	2.61978187301e-26
0.992655219978	1 3 4 5 6 7 	(3, 4, 2, 2, 8, 5)	2.61978187301e-26
0.992623259044	1 3 4 5 6 7 	(2, 4, 2, 2, 6, 3)	2.77742019153e-26
0.992623259044	2 3 4 6 7 	(2, 4, 4, 8, 3)	2.77742019153e-26
0.992623259044	1 2 3 4 5 6 7 	(1, 1, 4, 3, 1, 7, 3)	2.77742019153e-26
0.99261870927	1 3 4 5 6 7 	(4, 6, 2, 4, 9, 4)	2.80056116553e-26
0.992603834501	1 2 3 4 5 6 7 	(1, 2, 5, 4, 1, 9, 3)	2.87746813084e-26
0.992603834501	1 3 4 5 6 7 	(3, 5, 2, 3, 7, 3)	2.87746813084e-26
0.992603834501	1 2 3 4 5 6 7 	(2, 1, 5, 3, 2, 8, 3)	2.87746813084e-26
0.992584633672	1 3 4 5 6 7 	(4, 5, 2, 3, 9, 5)	2.97963252472e-26
0.992564943196	1 3 4 5 6 7 	(2, 4, 2, 1, 8, 4)	3.08788037e-26
0.992564943196	1 2 3 4 6 7 	(1, 1, 4, 3, 9, 4)	3.08788037e-26
0.99254355489	1 3 4 5 6 7 	(2, 3, 2, 2, 6, 4)	3.20957812463e-26
0.99254355489	1 2 3 4 5 6 7 	(1, 1, 3, 3, 1, 7, 4)	3.20957812463e-26
0.99254355489	2 3 4 6 7 	(2, 3, 4, 8, 4)	3.20957812463e-26
0.992465684112	1 3 4 5 6 7 	(4, 6, 2, 3, 9, 5)	3.69115687837e-26
0.992432272298	1 3 4 5 6 7 	(3, 6, 2, 3, 9, 5)	3.91760245368e-26
0.992371521415	1 3 4 5 6 7 	(2, 3, 2, 1, 7, 4)	4.36258784044e-26
0.992371521415	1 2 3 4 6 7 	(1, 1, 3, 3, 8, 4)	4.36258784044e-26
0.992296409804	1 3 4 5 6 7 	(3, 4, 3, 2, 9, 5)	4.97736477166e-26
0.992295330318	1 3 4 5 6 7 	(3, 5, 3, 2, 9, 5)	4.98675738979e-26
0.992279359198	1 3 4 5 6 7 	(3, 5, 2, 2, 8, 3)	5.12765276686e-26
