Pearson_cc	cycle_cover	cycle_abundance	P-value
0.99499712401	2 3 4 6 7 	(3, 5, 5, 4, 11)	1.48919761561e-28
0.99499712401	1 3 4 5 6 7 	(3, 5, 2, 3, 4, 8)	1.48919761561e-28
0.99499712401	1 2 3 4 5 6 7 	(1, 2, 5, 4, 1, 4, 10)	1.48919761561e-28
0.99499712401	1 2 3 4 5 6 7 	(2, 1, 5, 3, 2, 4, 9)	1.48919761561e-28
0.994859828655	1 2 3 4 5 6 7 	(2, 1, 6, 4, 2, 5, 11)	2.14454754293e-28
0.994859828655	1 3 4 5 6 7 	(3, 6, 3, 3, 5, 10)	2.14454754293e-28
0.9947883853	1 3 4 5 6 7 	(4, 6, 3, 3, 6, 11)	2.58275508942e-28
0.994766947167	1 3 4 5 6 7 	(4, 7, 3, 4, 5, 11)	2.729587248e-28
0.99469969471	1 3 4 5 6 7 	(3, 6, 3, 3, 6, 11)	3.24186156446e-28
0.994638447395	1 3 4 5 6 7 	(3, 5, 3, 2, 5, 10)	3.78442659896e-28
0.994638447395	1 2 3 4 5 6 7 	(2, 1, 5, 4, 1, 5, 11)	3.78442659896e-28
0.994628382839	1 3 4 5 6 7 	(3, 6, 3, 3, 5, 11)	3.88123633108e-28
0.994559178392	1 3 4 5 6 7 	(2, 4, 2, 2, 3, 7)	4.61155232117e-28
0.994559178392	2 3 4 6 7 	(2, 4, 4, 3, 9)	4.61155232117e-28
0.994559178392	1 2 3 4 5 6 7 	(1, 1, 4, 3, 1, 3, 8)	4.61155232117e-28
0.99453198482	1 3 4 5 6 7 	(4, 6, 3, 4, 6, 11)	4.93183786035e-28
0.994523170169	1 3 4 5 6 7 	(4, 6, 2, 3, 5, 10)	5.03999601388e-28
0.994523170169	1 2 3 4 5 6 7 	(3, 1, 6, 3, 2, 5, 11)	5.03999601388e-28
0.994516886477	1 3 4 5 6 7 	(3, 5, 3, 3, 5, 9)	5.11843443493e-28
0.994516886477	1 2 3 4 5 6 7 	(2, 1, 5, 4, 2, 5, 10)	5.11843443493e-28
0.994516886477	1 2 3 4 5 6 7 	(1, 2, 5, 5, 1, 5, 11)	5.11843443493e-28
0.994498246004	1 3 4 5 6 7 	(3, 5, 3, 3, 6, 10)	5.35781824896e-28
0.994498246004	1 2 3 4 5 6 7 	(2, 1, 5, 4, 2, 6, 11)	5.35781824896e-28
0.994493485602	1 2 3 4 5 6 7 	(1, 2, 5, 4, 1, 5, 11)	5.42059142543e-28
0.994493485602	1 2 3 4 5 6 7 	(2, 1, 5, 3, 2, 5, 10)	5.42059142543e-28
0.994493485602	1 3 4 5 6 7 	(3, 5, 2, 3, 5, 9)	5.42059142543e-28
0.994479114481	1 3 4 5 6 7 	(3, 5, 3, 3, 5, 10)	5.61425018593e-28
0.994479114481	1 2 3 4 5 6 7 	(2, 1, 5, 4, 2, 5, 11)	5.61425018593e-28
0.994450003245	1 3 4 5 6 7 	(4, 7, 3, 4, 6, 11)	6.02631522517e-28
0.994294498941	1 3 4 5 6 7 	(3, 6, 3, 2, 5, 11)	8.74323624878e-28
0.99420042974	1 3 4 5 6 7 	(3, 5, 3, 2, 6, 11)	1.08971067631e-27
0.994153214527	1 3 4 5 6 7 	(3, 5, 2, 2, 4, 9)	1.21542940388e-27
0.994153214527	1 2 3 4 6 7 	(1, 2, 5, 4, 4, 11)	1.21542940388e-27
0.994153214527	1 2 3 4 5 6 7 	(2, 1, 5, 3, 1, 4, 10)	1.21542940388e-27
0.994107527235	1 3 4 5 6 7 	(4, 7, 3, 3, 5, 11)	1.34973874224e-27
0.994093918283	1 3 4 5 6 7 	(2, 4, 3, 2, 4, 8)	1.39232444085e-27
0.994093918283	1 2 3 4 5 6 7 	(1, 1, 4, 4, 1, 4, 9)	1.39232444085e-27
0.994093918283	2 3 4 6 7 	(2, 4, 5, 4, 10)	1.39232444085e-27
0.994054756895	1 3 4 5 6 7 	(3, 6, 4, 3, 5, 11)	1.52190823593e-27
0.994039689998	2 3 4 6 7 	(2, 4, 4, 4, 9)	1.57467126812e-27
0.994039689998	1 2 3 4 5 6 7 	(1, 1, 4, 3, 1, 4, 8)	1.57467126812e-27
0.994039689998	1 3 4 5 6 7 	(2, 4, 2, 2, 4, 7)	1.57467126812e-27
0.994023780354	1 3 4 5 6 7 	(3, 6, 3, 3, 4, 10)	1.63221954425e-27
0.994023780354	1 2 3 4 5 6 7 	(2, 1, 6, 4, 2, 4, 11)	1.63221954425e-27
0.994014170484	1 3 4 5 6 7 	(4, 6, 3, 3, 5, 11)	1.66791695543e-27
0.99400399375	1 3 4 5 6 7 	(3, 6, 2, 3, 4, 9)	1.70650686549e-27
0.99400399375	1 2 3 4 5 6 7 	(2, 1, 6, 3, 2, 4, 10)	1.70650686549e-27
0.99400399375	1 2 3 4 5 6 7 	(1, 2, 6, 4, 1, 4, 11)	1.70650686549e-27
0.993996794819	1 3 4 5 6 7 	(4, 7, 2, 3, 5, 11)	1.73430225152e-27
0.99398166562	1 3 4 5 6 7 	(3, 5, 2, 2, 5, 9)	1.7940876593e-27
0.99398166562	1 2 3 4 5 6 7 	(2, 1, 5, 3, 1, 5, 10)	1.7940876593e-27
0.99398166562	1 2 3 4 6 7 	(1, 2, 5, 4, 5, 11)	1.7940876593e-27
0.993967607801	1 3 4 5 6 7 	(2, 4, 3, 2, 5, 9)	1.85134345719e-27
0.993967607801	2 3 4 6 7 	(2, 4, 5, 5, 11)	1.85134345719e-27
0.993967607801	1 2 3 4 5 6 7 	(1, 1, 4, 4, 1, 5, 10)	1.85134345719e-27
0.993941285279	1 3 4 5 6 7 	(4, 6, 2, 3, 6, 11)	1.96312479998e-27
0.993811768086	1 3 4 5 6 7 	(3, 6, 4, 3, 6, 11)	2.60994743448e-27
0.993781827353	1 3 4 5 6 7 	(3, 5, 4, 3, 6, 11)	2.78518802424e-27
0.993770834293	1 3 4 5 6 7 	(4, 6, 3, 4, 5, 10)	2.85221736625e-27
0.993770834293	1 2 3 4 5 6 7 	(3, 1, 6, 4, 3, 5, 11)	2.85221736625e-27
0.993762083901	1 3 4 5 6 7 	(4, 7, 2, 4, 5, 10)	2.90663604374e-27
0.993762083901	1 2 3 4 5 6 7 	(3, 1, 7, 3, 3, 5, 11)	2.90663604374e-27
0.993714113791	2 3 4 6 7 	(2, 4, 4, 4, 10)	3.22242931498e-27
0.993714113791	2 3 4 6 7 	(1, 2, 2, 2, 5)	3.22242931498e-27
0.993714113791	1 3 4 5 6 7 	(1, 2, 1, 1, 2, 4)	3.22242931498e-27
0.993714113791	1 2 3 4 5 6 7 	(1, 1, 4, 3, 1, 4, 9)	3.22242931498e-27
0.993714113791	1 3 4 5 6 7 	(2, 4, 2, 2, 4, 8)	3.22242931498e-27
0.993635777553	1 3 4 5 6 7 	(4, 6, 3, 4, 7, 11)	3.8071428135e-27
0.993601990253	1 2 3 4 5 6 7 	(1, 2, 5, 5, 1, 4, 11)	4.08843802185e-27
0.993601990253	1 3 4 5 6 7 	(3, 5, 3, 3, 4, 9)	4.08843802185e-27
0.993601990253	1 2 3 4 5 6 7 	(2, 1, 5, 4, 2, 4, 10)	4.08843802185e-27
0.993595663802	1 3 4 5 6 7 	(4, 7, 2, 4, 6, 11)	4.14320022646e-27
0.9935928143	1 3 4 5 6 7 	(3, 6, 2, 3, 5, 10)	4.16808678938e-27
0.9935928143	1 2 3 4 5 6 7 	(2, 1, 6, 3, 2, 5, 11)	4.16808678938e-27
0.993559967446	1 3 4 5 6 7 	(3, 5, 3, 3, 6, 11)	4.46512531507e-27
0.99351065694	1 3 4 5 6 7 	(4, 6, 2, 4, 5, 9)	4.94800057873e-27
0.99351065694	1 2 3 4 5 6 7 	(2, 2, 6, 4, 2, 5, 11)	4.94800057873e-27
0.99351065694	1 2 3 4 5 6 7 	(3, 1, 6, 3, 3, 5, 10)	4.94800057873e-27
0.993495082615	1 2 3 4 5 6 7 	(1, 1, 5, 4, 1, 4, 10)	5.11027727606e-27
0.993495082615	1 3 4 5 6 7 	(2, 5, 3, 2, 4, 9)	5.11027727606e-27
0.993495082615	2 3 4 6 7 	(2, 5, 5, 4, 11)	5.11027727606e-27
0.993489314172	1 3 4 5 6 7 	(4, 7, 2, 4, 5, 11)	5.17162137845e-27
0.993454486402	1 3 4 5 6 7 	(2, 3, 1, 2, 3, 5)	5.55671118004e-27
0.993454486402	2 3 4 6 7 	(2, 3, 3, 3, 7)	5.55671118004e-27
0.993454486402	1 2 3 4 5 6 7 	(1, 1, 3, 2, 1, 3, 6)	5.55671118004e-27
0.993454486402	1 2 3 4 5 6 7 	(3, 1, 6, 3, 3, 6, 11)	5.55671118004e-27
0.993454486402	1 3 4 5 6 7 	(4, 6, 2, 4, 6, 10)	5.55671118004e-27
0.993454243404	1 2 3 4 5 6 7 	(2, 1, 5, 3, 1, 4, 9)	5.55948884001e-27
0.993454243404	1 2 3 4 6 7 	(1, 2, 5, 4, 4, 10)	5.55948884001e-27
0.993454243404	1 3 4 5 6 7 	(3, 5, 2, 2, 4, 8)	5.55948884001e-27
0.993438765191	1 3 4 5 6 7 	(5, 7, 2, 4, 6, 11)	5.73908907998e-27
0.993417319443	1 3 4 5 6 7 	(4, 6, 3, 4, 6, 10)	5.99681721153e-27
0.993417319443	1 2 3 4 5 6 7 	(3, 1, 6, 4, 3, 6, 11)	5.99681721153e-27
0.993408793736	1 2 3 4 5 6 7 	(3, 1, 6, 4, 2, 5, 11)	6.10221991609e-27
0.993408793736	1 3 4 5 6 7 	(4, 6, 3, 3, 5, 10)	6.10221991609e-27
0.99340264018	1 2 3 4 5 6 7 	(3, 1, 6, 3, 3, 5, 11)	6.17935838929e-27
0.99340264018	1 3 4 5 6 7 	(4, 6, 2, 4, 5, 10)	6.17935838929e-27
0.993354965729	1 3 4 5 6 7 	(3, 7, 3, 3, 5, 11)	6.80828583978e-27
0.99335375328	1 2 3 4 5 6 7 	(1, 1, 5, 4, 1, 5, 11)	6.82502686917e-27
0.99335375328	1 3 4 5 6 7 	(2, 5, 3, 2, 5, 10)	6.82502686917e-27
