cycle_cover	max_abundance	rank	Pearson_cc	cycle_abundance	p_value
2 3 4 6 7 	2	23	0.904271677791	(1, 1, 1, 2, 1)	1.75002400027e-11
2 3 4 6 7 	3	9	0.956458746362	(1, 2, 1, 1, 3)	5.75710564052e-16
2 3 4 6 7 	4	5	0.975837870433	(1, 2, 2, 4, 1)	2.27551816676e-19
2 3 4 6 7 	5	3	0.982428207146	(1, 3, 2, 1, 5)	3.21056084405e-21
2 3 4 6 7 	6	4	0.984499805202	(1, 3, 3, 2, 6)	5.97570383788e-22
2 3 4 6 7 	7	2	0.986879384211	(1, 4, 3, 7, 2)	6.38661913526e-23
2 3 4 6 7 	8	3	0.987858927792	(1, 4, 3, 3, 8)	2.2534525194e-23
2 3 4 6 7 	9	3	0.988350642534	(1, 4, 4, 3, 9)	1.29331446262e-23
2 3 4 6 7 	10	2	0.989376114925	(1, 5, 4, 10, 3)	3.75022389279e-24
2 3 4 6 7 	11	3	0.989376114925	(1, 5, 4, 3, 10)	3.75022389279e-24
2 3 4 6 7 	12	2	0.989745003125	(1, 6, 5, 12, 4)	2.33237298112e-24
2 3 4 6 7 	13	2	0.989745003125	(1, 6, 5, 4, 12)	2.33237298112e-24
2 3 4 6 7 	14	2	0.989745003125	(1, 6, 5, 12, 4)	2.33237298112e-24
2 3 4 6 7 	15	1	0.989922276181	(1, 7, 6, 5, 15)	1.84506396762e-24
2 3 4 6 7 	16	3	0.989922276181	(1, 7, 6, 15, 5)	1.84506396762e-24
2 3 4 6 7 	17	2	0.990062080587	(1, 8, 7, 6, 17)	1.5291920931e-24
