cycle_cover	max_abundance	rank	Pearson_cc	cycle_abundance	p_value
1 3 4 5 6 7 	2	2	0.973111394953	(1, 1, 1, 1, 1, 2)	9.48327405601e-19
1 3 4 5 6 7 	3	1	0.991087651442	(1, 2, 1, 1, 3, 1)	3.53565552368e-25
1 3 4 5 6 7 	4	1	0.993714113791	(1, 2, 1, 1, 2, 4)	3.22242931498e-27
1 3 4 5 6 7 	5	2	0.993714113791	(1, 2, 1, 1, 2, 4)	3.22242931498e-27
1 3 4 5 6 7 	6	2	0.993714113791	(1, 2, 1, 1, 4, 2)	3.22242931498e-27
1 3 4 5 6 7 	7	1	0.994559178392	(2, 4, 2, 2, 7, 3)	4.61155232117e-28
1 3 4 5 6 7 	8	1	0.99499712401	(3, 5, 2, 3, 4, 8)	1.48919761561e-28
1 3 4 5 6 7 	9	2	0.99499712401	(3, 5, 2, 3, 8, 4)	1.48919761561e-28
1 3 4 5 6 7 	10	3	0.99499712401	(3, 5, 2, 3, 4, 8)	1.48919761561e-28
1 3 4 5 6 7 	11	2	0.99499712401	(3, 5, 2, 3, 4, 8)	1.48919761561e-28
1 3 4 5 6 7 	12	1	0.995242023941	(4, 7, 3, 4, 12, 6)	7.57367225704e-29
1 3 4 5 6 7 	13	1	0.995242023941	(4, 7, 3, 4, 6, 12)	7.57367225704e-29
1 3 4 5 6 7 	14	3	0.995242023941	(4, 7, 3, 4, 12, 6)	7.57367225704e-29
1 3 4 5 6 7 	15	1	0.995420970468	(5, 8, 4, 4, 15, 8)	4.51856729111e-29
1 3 4 5 6 7 	16	2	0.995420970468	(5, 8, 4, 4, 15, 8)	4.51856729111e-29
1 3 4 5 6 7 	17	1	0.995420970468	(5, 8, 4, 4, 8, 15)	4.51856729111e-29
