Pearson_cc	cycle_cover	cycle_abundance	P-value
0.995242023941	1 3 4 5 6 7 	(4, 7, 3, 4, 6, 12)	7.57367225704e-29
0.995242023941	1 2 3 4 5 6 7 	(3, 1, 7, 4, 3, 6, 13)	7.57367225704e-29
0.995231616015	1 3 4 5 6 7 	(4, 7, 4, 4, 7, 13)	7.79993927964e-29
0.995151864636	1 3 4 5 6 7 	(4, 7, 3, 3, 6, 12)	9.75296631125e-29
0.995151864636	1 2 3 4 5 6 7 	(3, 1, 7, 4, 2, 6, 13)	9.75296631125e-29
0.99499712401	1 2 3 4 5 6 7 	(1, 2, 5, 4, 1, 4, 10)	1.48919761561e-28
0.99499712401	2 3 4 6 7 	(3, 5, 5, 4, 11)	1.48919761561e-28
0.99499712401	1 2 3 4 5 6 7 	(2, 1, 5, 3, 2, 4, 9)	1.48919761561e-28
0.99499712401	1 3 4 5 6 7 	(3, 5, 2, 3, 4, 8)	1.48919761561e-28
0.994915635381	1 3 4 5 6 7 	(5, 8, 3, 4, 6, 13)	1.85129132514e-28
0.994859828655	1 3 4 5 6 7 	(3, 6, 3, 3, 5, 10)	2.14454754293e-28
0.994859828655	2 3 4 6 7 	(3, 6, 6, 5, 13)	2.14454754293e-28
0.994859828655	1 2 3 4 5 6 7 	(1, 2, 6, 5, 1, 5, 12)	2.14454754293e-28
0.994859828655	1 2 3 4 5 6 7 	(2, 1, 6, 4, 2, 5, 11)	2.14454754293e-28
0.994815048695	1 3 4 5 6 7 	(4, 7, 4, 3, 6, 13)	2.41033781633e-28
0.994800840645	1 3 4 5 6 7 	(4, 7, 3, 3, 7, 13)	2.50084029153e-28
0.9947883853	1 3 4 5 6 7 	(4, 6, 3, 3, 6, 11)	2.58275508942e-28
0.9947883853	1 2 3 4 5 6 7 	(3, 1, 6, 4, 2, 6, 12)	2.58275508942e-28
0.9947883853	1 2 3 4 5 6 7 	(2, 2, 6, 5, 1, 6, 13)	2.58275508942e-28
0.994779797954	1 3 4 5 6 7 	(3, 6, 4, 3, 6, 12)	2.64067004296e-28
0.994779797954	1 2 3 4 5 6 7 	(2, 1, 6, 5, 2, 6, 13)	2.64067004296e-28
0.994766947167	1 2 3 4 5 6 7 	(2, 2, 7, 5, 2, 5, 13)	2.729587248e-28
0.994766947167	1 3 4 5 6 7 	(4, 7, 3, 4, 5, 11)	2.729587248e-28
0.994766947167	1 2 3 4 5 6 7 	(3, 1, 7, 4, 3, 5, 12)	2.729587248e-28
0.994728214392	1 3 4 5 6 7 	(5, 8, 3, 5, 7, 13)	3.01463161825e-28
0.994719761861	1 3 4 5 6 7 	(5, 8, 3, 4, 7, 13)	3.08039016583e-28
0.9947069741	1 3 4 5 6 7 	(4, 8, 4, 4, 6, 13)	3.18240328186e-28
0.99469969471	1 3 4 5 6 7 	(3, 6, 3, 3, 6, 11)	3.24186156446e-28
0.99469969471	1 2 3 4 5 6 7 	(1, 2, 6, 5, 1, 6, 13)	3.24186156446e-28
0.99469969471	1 2 3 4 5 6 7 	(2, 1, 6, 4, 2, 6, 12)	3.24186156446e-28
0.994672130572	1 3 4 5 6 7 	(4, 7, 3, 3, 6, 13)	3.47644952934e-28
0.994648878096	1 3 4 5 6 7 	(4, 7, 4, 3, 7, 13)	3.68645722387e-28
0.994641634051	1 3 4 5 6 7 	(4, 7, 4, 4, 6, 12)	3.75424356442e-28
0.994641634051	1 2 3 4 5 6 7 	(3, 1, 7, 5, 3, 6, 13)	3.75424356442e-28
0.994638447395	1 3 4 5 6 7 	(3, 5, 3, 2, 5, 10)	3.78442659896e-28
0.994638447395	1 2 3 4 6 7 	(1, 2, 5, 5, 5, 12)	3.78442659896e-28
0.994638447395	1 2 3 4 5 6 7 	(2, 1, 5, 4, 1, 5, 11)	3.78442659896e-28
0.994628382839	1 3 4 5 6 7 	(3, 6, 3, 3, 5, 11)	3.88123633108e-28
0.994628382839	1 2 3 4 5 6 7 	(1, 2, 6, 5, 1, 5, 13)	3.88123633108e-28
0.994628382839	1 2 3 4 5 6 7 	(2, 1, 6, 4, 2, 5, 12)	3.88123633108e-28
0.994599490847	1 3 4 5 6 7 	(4, 7, 4, 4, 6, 13)	4.17202812543e-28
0.994559178392	1 3 4 5 6 7 	(2, 4, 2, 2, 3, 7)	4.61155232117e-28
0.994559178392	2 3 4 6 7 	(2, 4, 4, 3, 9)	4.61155232117e-28
0.994559178392	1 2 3 4 5 6 7 	(1, 1, 4, 3, 1, 3, 8)	4.61155232117e-28
0.994532255713	1 3 4 5 6 7 	(4, 7, 3, 4, 7, 13)	4.92854820467e-28
0.99453198482	1 2 3 4 5 6 7 	(2, 2, 6, 5, 2, 6, 13)	4.93183786035e-28
0.99453198482	1 2 3 4 5 6 7 	(3, 1, 6, 4, 3, 6, 12)	4.93183786035e-28
0.99453198482	1 3 4 5 6 7 	(4, 6, 3, 4, 6, 11)	4.93183786035e-28
0.994530146107	1 3 4 5 6 7 	(4, 6, 3, 3, 7, 12)	4.95422043291e-28
0.994530146107	1 2 3 4 5 6 7 	(3, 1, 6, 4, 2, 7, 13)	4.95422043291e-28
0.994523170169	1 2 3 4 5 6 7 	(2, 2, 6, 4, 1, 5, 12)	5.03999601388e-28
0.994523170169	1 3 4 5 6 7 	(4, 6, 2, 3, 5, 10)	5.03999601388e-28
0.994523170169	1 2 3 4 5 6 7 	(3, 1, 6, 3, 2, 5, 11)	5.03999601388e-28
0.994523170169	1 2 3 4 6 7 	(1, 3, 6, 5, 5, 13)	5.03999601388e-28
0.994516886477	1 2 3 4 5 6 7 	(1, 2, 5, 5, 1, 5, 11)	5.11843443493e-28
0.994516886477	1 3 4 5 6 7 	(3, 5, 3, 3, 5, 9)	5.11843443493e-28
0.994516886477	2 3 4 6 7 	(3, 5, 6, 5, 12)	5.11843443493e-28
0.994516886477	1 2 3 4 5 6 7 	(2, 1, 5, 4, 2, 5, 10)	5.11843443493e-28
0.994498246004	2 3 4 6 7 	(3, 5, 6, 6, 13)	5.35781824896e-28
0.994498246004	1 2 3 4 5 6 7 	(1, 2, 5, 5, 1, 6, 12)	5.35781824896e-28
0.994498246004	1 2 3 4 5 6 7 	(2, 1, 5, 4, 2, 6, 11)	5.35781824896e-28
0.994498246004	1 3 4 5 6 7 	(3, 5, 3, 3, 6, 10)	5.35781824896e-28
0.994497531881	1 3 4 5 6 7 	(4, 8, 3, 4, 6, 13)	5.36719194536e-28
0.994493485602	2 3 4 6 7 	(3, 5, 5, 5, 12)	5.42059142543e-28
0.994493485602	1 2 3 4 5 6 7 	(2, 1, 5, 3, 2, 5, 10)	5.42059142543e-28
0.994493485602	1 3 4 5 6 7 	(3, 5, 2, 3, 5, 9)	5.42059142543e-28
0.994493485602	1 2 3 4 5 6 7 	(1, 2, 5, 4, 1, 5, 11)	5.42059142543e-28
0.994479114481	1 3 4 5 6 7 	(3, 5, 3, 3, 5, 10)	5.61425018593e-28
0.994479114481	1 2 3 4 5 6 7 	(1, 2, 5, 5, 1, 5, 12)	5.61425018593e-28
0.994479114481	1 2 3 4 5 6 7 	(2, 1, 5, 4, 2, 5, 11)	5.61425018593e-28
0.994479114481	2 3 4 6 7 	(3, 5, 6, 5, 13)	5.61425018593e-28
0.994453607631	1 3 4 5 6 7 	(4, 7, 3, 4, 7, 12)	5.97381945981e-28
0.994453607631	1 2 3 4 5 6 7 	(3, 1, 7, 4, 3, 7, 13)	5.97381945981e-28
0.994450003245	1 3 4 5 6 7 	(4, 7, 3, 4, 6, 11)	6.02631522517e-28
0.994450003245	1 2 3 4 5 6 7 	(2, 2, 7, 5, 2, 6, 13)	6.02631522517e-28
0.994450003245	1 2 3 4 5 6 7 	(3, 1, 7, 4, 3, 6, 12)	6.02631522517e-28
0.994443606641	1 3 4 5 6 7 	(5, 7, 3, 4, 7, 13)	6.12053062059e-28
0.994440741549	1 2 3 4 5 6 7 	(3, 1, 7, 4, 2, 5, 13)	6.1631709693e-28
0.994440741549	1 3 4 5 6 7 	(4, 7, 3, 3, 5, 12)	6.1631709693e-28
0.994425418661	1 3 4 5 6 7 	(4, 6, 3, 3, 6, 12)	6.39592239212e-28
0.994425418661	1 2 3 4 5 6 7 	(3, 1, 6, 4, 2, 6, 13)	6.39592239212e-28
0.994300660743	1 3 4 5 6 7 	(4, 6, 4, 3, 7, 13)	8.61692934824e-28
0.994294498941	1 3 4 5 6 7 	(3, 6, 3, 2, 5, 11)	8.74323624878e-28
0.994294498941	1 2 3 4 5 6 7 	(2, 1, 6, 4, 1, 5, 12)	8.74323624878e-28
0.994294498941	1 2 3 4 6 7 	(1, 2, 6, 5, 5, 13)	8.74323624878e-28
0.994223404939	1 2 3 4 5 6 7 	(4, 1, 8, 4, 4, 6, 13)	1.03299187691e-27
0.994223404939	1 3 4 5 6 7 	(5, 8, 3, 5, 6, 12)	1.03299187691e-27
0.994222062697	1 3 4 5 6 7 	(3, 6, 4, 3, 7, 13)	1.03622880644e-27
0.994208106553	1 3 4 5 6 7 	(3, 7, 4, 3, 6, 13)	1.07044602271e-27
0.994203225812	1 3 4 5 6 7 	(5, 9, 3, 5, 6, 13)	1.08265719829e-27
0.99420042974	1 2 3 4 6 7 	(1, 2, 5, 5, 6, 13)	1.08971067631e-27
0.99420042974	1 2 3 4 5 6 7 	(2, 1, 5, 4, 1, 6, 12)	1.08971067631e-27
0.99420042974	1 3 4 5 6 7 	(3, 5, 3, 2, 6, 11)	1.08971067631e-27
0.994189956321	1 3 4 5 6 7 	(5, 8, 4, 5, 7, 13)	1.11651109508e-27
0.994153214527	1 3 4 5 6 7 	(3, 5, 2, 2, 4, 9)	1.21542940388e-27
0.994153214527	1 2 3 4 5 6 7 	(2, 1, 5, 3, 1, 4, 10)	1.21542940388e-27
0.994153214527	1 2 3 4 6 7 	(1, 2, 5, 4, 4, 11)	1.21542940388e-27
0.994120867093	1 3 4 5 6 7 	(5, 8, 3, 5, 6, 13)	1.30916801624e-27
0.994107527235	1 2 3 4 5 6 7 	(3, 1, 7, 4, 2, 5, 12)	1.34973874224e-27
0.994107527235	1 3 4 5 6 7 	(4, 7, 3, 3, 5, 11)	1.34973874224e-27
