Pearson_cc	cycle_cover	cycle_abundance	P-value
0.989745003125	1 3 4 5 6 7 	(1, 6, 4, 1, 11, 4)	2.33237298112e-24
0.989745003125	2 3 4 6 7 	(1, 6, 5, 12, 4)	2.33237298112e-24
0.989541332794	1 3 4 5 6 7 	(1, 6, 4, 1, 12, 5)	3.03795893989e-24
0.989376114925	1 3 4 5 6 7 	(1, 5, 3, 1, 9, 3)	3.75022389279e-24
0.989376114925	2 3 4 6 7 	(1, 5, 4, 10, 3)	3.75022389279e-24
0.98910473917	1 3 4 5 6 7 	(1, 7, 4, 1, 12, 4)	5.26321053793e-24
0.989001454296	1 3 4 5 6 7 	(1, 6, 4, 1, 12, 4)	5.97456788227e-24
0.989001454102	1 3 4 5 6 7 	(1, 5, 4, 1, 10, 4)	5.9745692959e-24
0.989001454102	2 3 4 6 7 	(1, 5, 5, 11, 4)	5.9745692959e-24
0.988771002046	1 3 4 5 6 7 	(1, 6, 5, 1, 12, 5)	7.89402919516e-24
0.988747691302	1 3 4 5 6 7 	(1, 5, 3, 1, 10, 4)	8.1170478214e-24
0.988747691302	2 3 4 6 7 	(1, 5, 4, 11, 4)	8.1170478214e-24
0.988703749826	1 3 4 5 6 7 	(1, 5, 4, 1, 11, 5)	8.5533740826e-24
0.988703749826	2 3 4 6 7 	(1, 5, 5, 12, 5)	8.5533740826e-24
0.988671414508	1 3 4 5 6 7 	(1, 6, 5, 1, 12, 4)	8.88820438009e-24
0.988350642534	1 3 4 5 6 7 	(1, 4, 3, 1, 8, 3)	1.29331446262e-23
0.988350642534	2 3 4 6 7 	(1, 4, 4, 9, 3)	1.29331446262e-23
0.988308182064	1 3 4 5 6 7 	(1, 6, 3, 1, 10, 3)	1.35808592444e-23
0.988308182064	2 3 4 6 7 	(1, 6, 4, 11, 3)	1.35808592444e-23
0.9882231609	2 3 4 6 7 	(1, 6, 5, 12, 3)	1.49689621813e-23
0.9882231609	1 3 4 5 6 7 	(1, 6, 4, 1, 11, 3)	1.49689621813e-23
0.988219220762	2 3 4 6 7 	(1, 5, 4, 10, 4)	1.50363667519e-23
0.988219220762	1 3 4 5 6 7 	(1, 5, 3, 1, 9, 4)	1.50363667519e-23
0.988172677014	2 3 4 6 7 	(1, 5, 5, 12, 4)	1.58541368408e-23
0.988172677014	1 3 4 5 6 7 	(1, 5, 4, 1, 11, 4)	1.58541368408e-23
0.988124779498	2 3 4 6 7 	(1, 6, 4, 12, 4)	1.67384974104e-23
0.988124779498	1 3 4 5 6 7 	(1, 6, 3, 1, 11, 4)	1.67384974104e-23
0.987895222417	1 3 4 5 6 7 	(1, 6, 4, 1, 10, 3)	2.16464930615e-23
0.987895222417	2 3 4 6 7 	(1, 6, 5, 11, 3)	2.16464930615e-23
0.987894536161	1 3 4 5 6 7 	(1, 7, 5, 1, 12, 4)	2.16629792239e-23
0.987858927792	1 3 4 5 6 7 	(1, 4, 2, 1, 7, 3)	2.2534525194e-23
0.987858927792	2 3 4 6 7 	(1, 4, 3, 8, 3)	2.2534525194e-23
0.987829889735	1 3 4 5 6 7 	(1, 6, 4, 1, 11, 5)	2.32691486263e-23
0.987829889735	2 3 4 6 7 	(1, 6, 5, 12, 5)	2.32691486263e-23
0.987747680374	1 3 4 5 6 7 	(2, 7, 4, 2, 12, 4)	2.54708230737e-23
0.987693806292	1 3 4 5 6 7 	(2, 7, 4, 1, 12, 4)	2.70165187589e-23
0.987660416847	1 3 4 5 6 7 	(2, 7, 4, 2, 12, 5)	2.80175763618e-23
0.987617758263	1 3 4 5 6 7 	(1, 7, 4, 1, 12, 3)	2.93464673503e-23
0.987613972893	1 3 4 5 6 7 	(1, 7, 4, 1, 12, 5)	2.94671615957e-23
0.987608833537	1 3 4 5 6 7 	(1, 6, 3, 1, 10, 4)	2.9631761929e-23
0.987608833537	2 3 4 6 7 	(1, 6, 4, 11, 4)	2.9631761929e-23
0.987583798424	1 3 4 5 6 7 	(1, 7, 4, 2, 12, 4)	3.04458054011e-23
0.987523391434	2 3 4 5 6 7 	(1, 6, 5, 1, 12, 4)	3.24959476411e-23
0.987523391434	1 3 4 5 6 7 	(1, 6, 4, 2, 11, 4)	3.24959476411e-23
0.987510689268	2 3 4 6 7 	(1, 4, 4, 10, 4)	3.29429783665e-23
0.987510689268	1 3 4 5 6 7 	(1, 4, 3, 1, 9, 4)	3.29429783665e-23
0.987500404296	1 3 4 5 6 7 	(2, 6, 4, 1, 12, 5)	3.33091009901e-23
0.987492003903	1 3 4 5 6 7 	(1, 7, 5, 2, 12, 4)	3.36109256195e-23
0.98744576336	1 3 4 5 6 7 	(1, 5, 5, 1, 12, 5)	3.53181308725e-23
0.987386935691	1 2 3 4 6 7 	(1, 1, 6, 4, 12, 4)	3.76060103195e-23
0.987386935691	1 3 4 5 6 7 	(2, 6, 3, 1, 11, 4)	3.76060103195e-23
0.987352951174	1 3 4 5 6 7 	(2, 7, 3, 1, 12, 4)	3.89894220199e-23
0.987347055054	1 3 4 5 6 7 	(1, 6, 5, 2, 12, 5)	3.9234175149e-23
0.987332407999	1 3 4 5 6 7 	(1, 5, 4, 1, 10, 3)	3.98483517139e-23
0.987332407999	2 3 4 6 7 	(1, 5, 5, 11, 3)	3.98483517139e-23
0.987271742237	2 3 4 6 7 	(1, 7, 5, 12, 3)	4.24880957645e-23
0.987271742237	1 3 4 5 6 7 	(1, 7, 4, 1, 11, 3)	4.24880957645e-23
0.987205425041	1 3 4 5 6 7 	(1, 6, 4, 1, 12, 6)	4.55582355735e-23
0.98717152837	1 3 4 5 6 7 	(2, 7, 3, 2, 11, 4)	4.72055424016e-23
0.98717152837	1 2 3 4 5 6 7 	(1, 1, 7, 4, 1, 12, 4)	4.72055424016e-23
0.987157789663	1 3 4 5 6 7 	(1, 7, 4, 2, 12, 5)	4.78887713234e-23
0.987157448362	1 3 4 5 6 7 	(1, 5, 3, 1, 8, 3)	4.79058601808e-23
0.987157448362	2 3 4 6 7 	(1, 5, 4, 9, 3)	4.79058601808e-23
0.987102561333	1 3 4 5 6 7 	(1, 5, 4, 1, 12, 5)	5.07286353555e-23
0.987061700757	1 3 4 5 6 7 	(1, 6, 5, 1, 11, 4)	5.2929105174e-23
0.987061700757	2 3 4 6 7 	(1, 6, 6, 12, 4)	5.2929105174e-23
0.986942294292	1 3 4 5 6 7 	(1, 6, 4, 2, 12, 5)	5.98758656288e-23
0.986908382122	1 3 4 5 6 7 	(1, 5, 4, 1, 12, 6)	6.19972755599e-23
0.986897781372	2 3 4 6 7 	(1, 5, 5, 10, 3)	6.26745464038e-23
0.986897781372	1 3 4 5 6 7 	(1, 5, 4, 1, 9, 3)	6.26745464038e-23
0.986897457918	1 3 4 5 6 7 	(1, 6, 4, 2, 11, 5)	6.26953187591e-23
0.986897457918	2 3 4 5 6 7 	(1, 6, 5, 1, 12, 5)	6.26953187591e-23
0.986890056921	1 3 4 5 6 7 	(1, 7, 5, 1, 12, 3)	6.31723570851e-23
0.986879384211	2 3 4 6 7 	(1, 4, 3, 7, 2)	6.38661913526e-23
0.986879384211	1 3 4 5 6 7 	(1, 4, 2, 1, 6, 2)	6.38661913526e-23
0.986879384211	1 3 4 5 6 7 	(2, 8, 4, 2, 12, 4)	6.38661913526e-23
0.986876158193	1 3 4 5 6 7 	(1, 5, 3, 1, 8, 2)	6.40772985369e-23
0.986876158193	2 3 4 6 7 	(1, 5, 4, 9, 2)	6.40772985369e-23
0.986828830642	1 3 4 5 6 7 	(1, 5, 5, 1, 12, 6)	6.72495035091e-23
0.986820584778	2 3 4 6 7 	(1, 5, 4, 11, 5)	6.7816834428e-23
0.986820584778	1 3 4 5 6 7 	(1, 5, 3, 1, 10, 5)	6.7816834428e-23
0.98678709525	1 3 4 5 6 7 	(1, 4, 3, 1, 8, 4)	7.01667874786e-23
0.98678709525	2 3 4 6 7 	(1, 4, 4, 9, 4)	7.01667874786e-23
0.986754657857	1 3 4 5 6 7 	(2, 7, 3, 2, 12, 5)	7.25145201707e-23
0.986744321387	1 3 4 5 6 7 	(1, 7, 5, 2, 12, 5)	7.32777790918e-23
0.986740931666	1 3 4 5 6 7 	(1, 7, 4, 2, 11, 4)	7.35296943587e-23
0.986740931666	2 3 4 5 6 7 	(1, 7, 5, 1, 12, 4)	7.35296943587e-23
0.986732422879	2 3 4 6 7 	(1, 6, 5, 11, 4)	7.41655790894e-23
0.986732422879	1 3 4 5 6 7 	(1, 6, 4, 1, 10, 4)	7.41655790894e-23
0.98670542829	1 3 4 5 6 7 	(2, 7, 3, 1, 12, 5)	7.6216785722e-23
0.986695270345	2 3 4 6 7 	(1, 6, 4, 12, 5)	7.70021416636e-23
0.986695270345	1 3 4 5 6 7 	(1, 6, 3, 1, 11, 5)	7.70021416636e-23
0.986689896589	2 3 4 6 7 	(2, 6, 5, 12, 4)	7.74206318064e-23
0.986689896589	1 2 3 4 5 6 7 	(1, 1, 6, 4, 1, 11, 4)	7.74206318064e-23
0.986689896589	1 3 4 5 6 7 	(2, 6, 3, 2, 10, 4)	7.74206318064e-23
0.986662740563	1 3 4 5 6 7 	(1, 5, 4, 1, 10, 5)	7.95678214929e-23
0.986662740563	2 3 4 6 7 	(1, 5, 5, 11, 5)	7.95678214929e-23
0.986651069746	1 3 4 5 6 7 	(1, 5, 5, 1, 11, 5)	8.05074320331e-23
0.986651069746	2 3 4 6 7 	(1, 5, 6, 12, 5)	8.05074320331e-23
0.986645493977	1 3 4 5 6 7 	(2, 7, 4, 1, 12, 5)	8.0959947711e-23
