Pearson_cc	cycle_cover	cycle_abundance	P-value
0.989922276181	1 3 4 5 6 7 	(1, 7, 5, 1, 14, 5)	1.84506396762e-24
0.989745003125	2 3 4 6 7 	(1, 6, 5, 12, 4)	2.33237298112e-24
0.989745003125	1 3 4 5 6 7 	(1, 6, 4, 1, 11, 4)	2.33237298112e-24
0.989541332794	1 3 4 5 6 7 	(1, 6, 4, 1, 12, 5)	3.03795893989e-24
0.989541332794	2 3 4 6 7 	(1, 6, 5, 13, 5)	3.03795893989e-24
0.989502683819	1 3 4 5 6 7 	(1, 7, 5, 1, 14, 6)	3.19234552113e-24
0.989429412161	2 3 4 6 7 	(1, 7, 6, 14, 5)	3.50514093495e-24
0.989429412161	1 3 4 5 6 7 	(1, 7, 5, 1, 13, 5)	3.50514093495e-24
0.989376114925	1 3 4 5 6 7 	(1, 5, 3, 1, 9, 3)	3.75022389279e-24
0.989376114925	2 3 4 6 7 	(1, 5, 4, 10, 3)	3.75022389279e-24
0.989359562375	1 3 4 5 6 7 	(1, 6, 5, 1, 13, 5)	3.82950704058e-24
0.989359562375	2 3 4 6 7 	(1, 6, 6, 14, 5)	3.82950704058e-24
0.98926916745	1 3 4 5 6 7 	(1, 7, 5, 1, 13, 4)	4.29053429383e-24
0.98926916745	2 3 4 6 7 	(1, 7, 6, 14, 4)	4.29053429383e-24
0.989133016039	1 3 4 5 6 7 	(1, 7, 4, 1, 13, 5)	5.08260514261e-24
0.989133016039	2 3 4 6 7 	(1, 7, 5, 14, 5)	5.08260514261e-24
0.98910473917	1 3 4 5 6 7 	(1, 7, 4, 1, 12, 4)	5.26321053793e-24
0.98910473917	2 3 4 6 7 	(1, 7, 5, 13, 4)	5.26321053793e-24
0.989092405192	1 3 4 5 6 7 	(1, 8, 5, 1, 14, 5)	5.34383265542e-24
0.989001454296	1 3 4 5 6 7 	(1, 6, 4, 1, 12, 4)	5.97456788227e-24
0.989001454296	2 3 4 6 7 	(1, 6, 5, 13, 4)	5.97456788227e-24
0.989001454102	1 3 4 5 6 7 	(1, 5, 4, 1, 10, 4)	5.9745692959e-24
0.989001454102	2 3 4 6 7 	(1, 5, 5, 11, 4)	5.9745692959e-24
0.988943471944	1 3 4 5 6 7 	(1, 7, 6, 1, 14, 5)	6.4118982237e-24
0.988830674735	1 3 4 5 6 7 	(1, 8, 5, 1, 14, 4)	7.34869811259e-24
0.988813585547	2 3 4 6 7 	(1, 6, 6, 14, 6)	7.50119693194e-24
0.988813585547	1 3 4 5 6 7 	(1, 6, 5, 1, 13, 6)	7.50119693194e-24
0.988771002046	2 3 4 6 7 	(1, 6, 6, 13, 5)	7.89402919516e-24
0.988771002046	1 3 4 5 6 7 	(1, 6, 5, 1, 12, 5)	7.89402919516e-24
0.988747691302	2 3 4 6 7 	(1, 5, 4, 11, 4)	8.1170478214e-24
0.988747691302	1 3 4 5 6 7 	(1, 5, 3, 1, 10, 4)	8.1170478214e-24
0.988703749826	1 3 4 5 6 7 	(1, 5, 4, 1, 11, 5)	8.5533740826e-24
0.988703749826	2 3 4 6 7 	(1, 5, 5, 12, 5)	8.5533740826e-24
0.988688228577	1 3 4 5 6 7 	(1, 6, 5, 1, 14, 6)	8.71261151079e-24
0.988671414508	1 3 4 5 6 7 	(1, 6, 5, 1, 12, 4)	8.88820438009e-24
0.988671414508	2 3 4 6 7 	(1, 6, 6, 13, 4)	8.88820438009e-24
0.988663941389	1 3 4 5 6 7 	(2, 7, 4, 1, 13, 5)	8.96729384912e-24
0.988663941389	1 2 3 4 6 7 	(1, 1, 7, 5, 14, 5)	8.96729384912e-24
0.988630057156	1 3 4 5 6 7 	(2, 8, 5, 2, 14, 5)	9.33413387865e-24
0.988622061431	1 3 4 5 6 7 	(2, 8, 4, 1, 14, 5)	9.42269881405e-24
0.988515504229	2 3 4 6 7 	(1, 7, 5, 14, 4)	1.06796582497e-23
0.988515504229	1 3 4 5 6 7 	(1, 7, 4, 1, 13, 4)	1.06796582497e-23
0.988485444352	1 3 4 5 6 7 	(1, 8, 5, 2, 14, 5)	1.10613183115e-23
0.988428366394	2 3 4 5 6 7 	(1, 7, 6, 1, 14, 5)	1.18209679374e-23
0.988428366394	1 3 4 5 6 7 	(1, 7, 5, 2, 13, 5)	1.18209679374e-23
0.988365382053	1 3 4 5 6 7 	(2, 8, 4, 2, 14, 5)	1.27150672887e-23
0.988350642534	1 3 4 5 6 7 	(1, 4, 3, 1, 8, 3)	1.29331446262e-23
0.988350642534	2 3 4 6 7 	(1, 4, 4, 9, 3)	1.29331446262e-23
0.988308182064	1 3 4 5 6 7 	(1, 6, 3, 1, 10, 3)	1.35808592444e-23
0.988308182064	2 3 4 6 7 	(1, 6, 4, 11, 3)	1.35808592444e-23
0.988303632673	1 3 4 5 6 7 	(1, 7, 6, 1, 14, 6)	1.36520095768e-23
0.9882231609	1 3 4 5 6 7 	(1, 6, 4, 1, 11, 3)	1.49689621813e-23
0.9882231609	2 3 4 6 7 	(1, 6, 5, 12, 3)	1.49689621813e-23
0.988219220762	2 3 4 6 7 	(1, 5, 4, 10, 4)	1.50363667519e-23
0.988219220762	1 3 4 5 6 7 	(1, 5, 3, 1, 9, 4)	1.50363667519e-23
0.988172677014	2 3 4 6 7 	(1, 5, 5, 12, 4)	1.58541368408e-23
0.988172677014	1 3 4 5 6 7 	(1, 5, 4, 1, 11, 4)	1.58541368408e-23
0.988172206819	1 3 4 5 6 7 	(2, 7, 4, 1, 14, 6)	1.58626041036e-23
0.988164717623	1 3 4 5 6 7 	(1, 6, 6, 1, 14, 6)	1.59980349319e-23
0.988124779498	2 3 4 6 7 	(1, 6, 4, 12, 4)	1.67384974104e-23
0.988124779498	1 3 4 5 6 7 	(1, 6, 3, 1, 11, 4)	1.67384974104e-23
0.988116661608	1 3 4 5 6 7 	(1, 7, 5, 2, 14, 6)	1.68928296223e-23
0.988116499962	1 3 4 5 6 7 	(1, 6, 4, 1, 13, 5)	1.68959160702e-23
0.988116499962	2 3 4 6 7 	(1, 6, 5, 14, 5)	1.68959160702e-23
0.988094968957	1 3 4 5 6 7 	(2, 8, 5, 1, 14, 5)	1.73117196066e-23
0.988076840905	1 3 4 5 6 7 	(2, 7, 5, 1, 14, 5)	1.76691251618e-23
0.988059442046	1 3 4 5 6 7 	(2, 7, 5, 1, 14, 6)	1.80185629424e-23
0.988042041026	1 2 3 4 5 6 7 	(1, 1, 7, 5, 1, 14, 5)	1.83744293566e-23
0.988042041026	1 3 4 5 6 7 	(2, 7, 4, 2, 13, 5)	1.83744293566e-23
0.988033677533	1 3 4 5 6 7 	(2, 8, 4, 2, 13, 5)	1.8547773855e-23
0.988033677533	1 2 3 4 5 6 7 	(1, 1, 8, 5, 1, 14, 5)	1.8547773855e-23
0.988016505316	1 2 3 4 5 6 7 	(1, 1, 8, 5, 1, 14, 4)	1.89084430881e-23
0.988016505316	1 3 4 5 6 7 	(2, 8, 4, 2, 13, 4)	1.89084430881e-23
0.988007767751	1 3 4 5 6 7 	(1, 6, 4, 1, 13, 6)	1.90944391134e-23
0.988007767751	2 3 4 6 7 	(1, 6, 5, 14, 6)	1.90944391134e-23
0.987962786235	1 3 4 5 6 7 	(1, 7, 5, 1, 14, 4)	2.00790355699e-23
0.98794902961	1 3 4 5 6 7 	(1, 7, 4, 1, 14, 6)	2.03894036502e-23
0.987925901959	1 3 4 5 6 7 	(1, 7, 4, 1, 14, 5)	2.09212161442e-23
0.987919918339	1 3 4 5 6 7 	(1, 8, 4, 1, 14, 5)	2.10608816739e-23
0.987895222417	1 3 4 5 6 7 	(1, 6, 4, 1, 10, 3)	2.16464930615e-23
0.987895222417	2 3 4 6 7 	(1, 6, 5, 11, 3)	2.16464930615e-23
0.987894536161	2 3 4 6 7 	(1, 7, 6, 13, 4)	2.16629792239e-23
0.987894536161	1 3 4 5 6 7 	(1, 7, 5, 1, 12, 4)	2.16629792239e-23
0.987858927792	1 3 4 5 6 7 	(1, 4, 2, 1, 7, 3)	2.2534525194e-23
0.987858927792	1 3 4 5 6 7 	(2, 8, 4, 2, 14, 6)	2.2534525194e-23
0.987858927792	2 3 4 6 7 	(1, 4, 3, 8, 3)	2.2534525194e-23
0.987848852758	1 3 4 5 6 7 	(2, 8, 5, 2, 14, 6)	2.27869433856e-23
0.987829889735	2 3 4 6 7 	(1, 6, 5, 12, 5)	2.32691486263e-23
0.987829889735	1 3 4 5 6 7 	(1, 6, 4, 1, 11, 5)	2.32691486263e-23
0.987828859284	1 3 4 5 6 7 	(2, 7, 5, 2, 14, 6)	2.32956201324e-23
0.987818013041	1 3 4 5 6 7 	(2, 7, 4, 1, 14, 5)	2.35759471416e-23
0.987776394653	1 3 4 5 6 7 	(1, 8, 6, 2, 14, 5)	2.46808131768e-23
0.987756693624	1 3 4 5 6 7 	(1, 7, 6, 2, 14, 6)	2.52203596826e-23
0.987747680374	2 3 4 6 7 	(2, 7, 6, 14, 4)	2.54708230737e-23
0.987747680374	1 2 3 4 5 6 7 	(1, 1, 7, 5, 1, 13, 4)	2.54708230737e-23
0.987747680374	1 3 4 5 6 7 	(2, 7, 4, 2, 12, 4)	2.54708230737e-23
0.987720302008	1 3 4 5 6 7 	(1, 6, 5, 1, 14, 7)	2.62458042154e-23
0.987714116434	1 3 4 5 6 7 	(1, 7, 5, 2, 14, 5)	2.64238894569e-23
0.987693806292	1 2 3 4 6 7 	(1, 1, 7, 5, 13, 4)	2.70165187589e-23
0.987693806292	1 3 4 5 6 7 	(2, 7, 4, 1, 12, 4)	2.70165187589e-23
