cycle_cover	max_abundance	rank	Pearson_cc	cycle_abundance	p_value
2 3 4 6 7 	2	11	0.9594770164	(1, 1, 1, 1, 2)	2.22219297218E-16
2 3 4 6 7 	3	10	0.9749436102	(1, 2, 1, 3, 1)	3.69717546694E-19
2 3 4 6 7 	4	3	0.9910876514	(1, 2, 2, 1, 4)	3.53565552368E-25
2 3 4 6 7 	5	1	0.9937141138	(1, 2, 2, 2, 5)	3.22242931498E-27
2 3 4 6 7 	6	1	0.9937141138	(1, 2, 2, 5, 2)	3.22242931498E-27
2 3 4 6 7 	7	4	0.9937141138	(1, 2, 2, 5, 2)	3.22242931498E-27
2 3 4 6 7 	8	7	0.9937141138	(1, 2, 2, 2, 5)	3.22242931498E-27
2 3 4 6 7 	9	5	0.9945591784	(2, 4, 4, 9, 3)	4.61155232117E-28
2 3 4 6 7 	10	7	0.9945591784	(2, 4, 4, 3, 9)	4.61155232117E-28
2 3 4 6 7 	11	1	0.994997124	(3, 5, 5, 4, 11)	1.48919761561E-28
2 3 4 6 7 	12	5	0.994997124	(3, 5, 5, 11, 4)	1.48919761561E-28
2 3 4 6 7 	13	7	0.994997124	(3, 5, 5, 4, 11)	1.48919761561E-28
2 3 4 6 7 	14	13	0.994997124	(3, 5, 5, 11, 4)	1.48919761561E-28
2 3 4 6 7 	15	26	0.994997124	(3, 5, 5, 11, 4)	1.48919761561E-28
2 3 4 6 7 	16	6	0.9952420239	(4, 7, 7, 16, 6)	7.57367225704E-29
2 3 4 6 7 	17	12	0.9952420239	(4, 7, 7, 6, 16)	7.57367225704E-29
