Distance	cycle_cover	cycle_abundance
0.6038057635526167	2 3 4 6 7 	(1, 2, 2, 2, 5)
0.6038057635526167	1 3 4 5 6 7 	(1, 2, 1, 1, 2, 4)
0.6161491610835181	1 3 4 5 6 7 	(2, 3, 1, 2, 3, 5)
0.678000853329936	1 3 4 5 6 7 	(1, 2, 2, 1, 3, 5)
0.704841801523192	1 3 4 5 6 7 	(2, 3, 1, 2, 2, 4)
0.704841801523192	1 2 3 4 5 6 7 	(1, 1, 3, 2, 1, 2, 5)
0.7189688563286385	2 3 4 6 7 	(1, 2, 2, 1, 4)
0.7189688563286385	1 3 4 5 6 7 	(1, 2, 1, 1, 1, 3)
0.7316603398760921	1 3 4 5 6 7 	(2, 4, 1, 2, 2, 5)
0.7622335610427229	1 3 4 5 6 7 	(2, 3, 2, 2, 3, 5)
0.7720992651251707	1 3 4 5 6 7 	(2, 3, 1, 1, 2, 5)
0.7729643854216105	1 3 4 5 6 7 	(2, 3, 1, 2, 2, 5)
0.7893676506298519	1 3 4 5 6 7 	(1, 3, 2, 1, 2, 5)
0.824183559513366	1 3 4 5 6 7 	(2, 3, 1, 1, 3, 5)
0.8262072885755545	1 3 4 5 6 7 	(1, 2, 2, 1, 2, 4)
0.8262072885755545	2 3 4 6 7 	(1, 2, 3, 2, 5)
0.8372944129622594	1 3 4 5 6 7 	(2, 3, 2, 2, 2, 5)
0.8522773216731124	1 3 4 5 6 7 	(3, 4, 1, 3, 3, 5)
0.853508780523686	1 3 4 5 6 7 	(1, 2, 2, 1, 2, 5)
0.8615674137994305	1 3 4 5 6 7 	(1, 3, 1, 1, 2, 5)
0.8712236625153811	1 3 4 5 6 7 	(1, 3, 2, 2, 2, 5)
0.8751884263199865	1 3 4 5 6 7 	(1, 3, 2, 2, 3, 5)
0.8836537430403218	2 3 4 6 7 	(1, 2, 2, 2, 4)
0.8836537430403218	1 3 4 5 6 7 	(1, 2, 1, 1, 2, 3)
0.8857326547077011	1 3 4 5 6 7 	(1, 2, 1, 1, 3, 5)
0.8866827981789425	1 3 4 5 6 7 	(2, 3, 2, 3, 3, 5)
0.8974794680097568	2 3 4 6 7 	(1, 2, 2, 3, 5)
0.8974794680097568	1 3 4 5 6 7 	(1, 2, 1, 1, 3, 4)
0.9104489715891017	1 3 4 5 6 7 	(2, 4, 1, 2, 3, 5)
0.9130153597177673	1 3 4 5 6 7 	(1, 2, 2, 2, 3, 5)
0.9138845629235633	2 3 4 6 7 	(1, 1, 2, 2, 4)
0.9138845629235633	1 3 4 5 6 7 	(1, 1, 1, 1, 2, 3)
0.9167484475047559	1 3 4 5 6 7 	(2, 3, 1, 2, 4, 5)
0.920327556070174	1 3 4 5 6 7 	(2, 4, 1, 3, 2, 5)
0.9206775565617876	1 3 4 5 6 7 	(2, 4, 1, 3, 3, 5)
0.92115760422107	1 3 4 5 6 7 	(3, 4, 1, 3, 2, 5)
0.9212433283850723	1 3 4 5 6 7 	(2, 2, 1, 2, 3, 4)
0.9212433283850723	1 2 3 4 5 6 7 	(1, 1, 2, 2, 1, 3, 5)
0.9293348165013482	1 3 4 5 6 7 	(2, 4, 2, 2, 2, 5)
0.9293471483229823	1 3 4 5 6 7 	(2, 4, 2, 3, 2, 5)
0.9369330548717981	1 3 4 5 6 7 	(2, 2, 1, 1, 3, 5)
0.952857002831985	1 3 4 5 6 7 	(2, 3, 1, 3, 3, 5)
0.9567969006046997	1 3 4 5 6 7 	(2, 3, 1, 2, 3, 4)
0.9567969006046997	1 2 3 4 5 6 7 	(1, 1, 3, 2, 1, 3, 5)
0.9581312103474109	1 3 4 5 6 7 	(2, 4, 2, 3, 3, 5)
0.9606703832856986	1 3 4 5 6 7 	(1, 3, 2, 1, 3, 5)
0.9656086589784754	1 3 4 5 6 7 	(2, 2, 2, 2, 4, 5)
0.9704088370296376	1 3 4 5 6 7 	(2, 2, 2, 2, 3, 5)
0.9705877225100117	1 3 4 5 6 7 	(1, 2, 2, 1, 4, 5)
0.9771122078962156	1 2 3 4 5 6 7 	(1, 1, 3, 1, 1, 2, 5)
0.9771122078962156	1 3 5 6 7 	(2, 3, 2, 2, 4)
0.9783095129880163	1 3 4 5 6 7 	(2, 3, 2, 3, 4, 5)
0.9792942000755166	2 3 4 6 7 	(1, 3, 2, 1, 5)
0.9792942000755166	1 3 4 5 6 7 	(1, 3, 1, 1, 1, 4)
0.9829176806719172	1 3 4 5 6 7 	(1, 2, 2, 2, 4, 5)
0.9877700946460465	1 3 4 5 6 7 	(2, 2, 1, 2, 4, 5)
0.9877883245051454	1 3 4 5 6 7 	(2, 4, 1, 2, 1, 5)
0.9894001164184556	1 3 4 5 6 7 	(1, 3, 1, 1, 3, 5)
0.9932830197327691	1 3 5 6 7 	(3, 4, 3, 3, 5)
0.9949585398496931	1 3 4 5 6 7 	(3, 5, 1, 3, 2, 5)
0.9952863810013841	1 3 4 5 6 7 	(1, 2, 2, 2, 2, 4)
0.9952863810013841	2 3 4 5 6 7 	(1, 2, 3, 1, 2, 5)
0.9959543927947087	2 3 4 5 6 7 	(1, 2, 3, 1, 3, 5)
0.9959543927947087	1 3 4 5 6 7 	(1, 2, 2, 2, 3, 4)
0.9970993532603674	1 3 4 5 6 7 	(3, 4, 1, 2, 2, 5)
1.0034685065149627	1 3 4 5 6 7 	(3, 3, 1, 2, 3, 5)
1.0045532669076562	2 3 4 5 6 7 	(1, 3, 2, 1, 2, 5)
1.0045532669076562	1 3 4 5 6 7 	(1, 3, 1, 2, 2, 4)
1.0075190696936878	1 3 4 5 6 7 	(2, 3, 2, 2, 4, 5)
1.0115219120044627	1 3 4 5 6 7 	(1, 3, 1, 1, 2, 4)
1.0115219120044627	2 3 4 6 7 	(1, 3, 2, 2, 5)
1.012312518429001	1 3 4 5 6 7 	(2, 3, 1, 3, 4, 5)
1.015276567568211	1 3 4 5 6 7 	(3, 4, 1, 4, 3, 5)
1.0154344326561144	1 3 4 5 6 7 	(1, 2, 1, 2, 2, 3)
1.0154344326561144	2 3 4 5 6 7 	(1, 2, 2, 1, 2, 4)
1.0177184993498978	1 3 4 5 6 7 	(2, 3, 1, 3, 2, 4)
1.0177184993498978	1 2 3 4 5 6 7 	(1, 1, 3, 2, 2, 2, 5)
1.0177442081027572	1 3 4 5 6 7 	(2, 3, 1, 3, 3, 4)
1.0177442081027572	1 2 3 4 5 6 7 	(1, 1, 3, 2, 2, 3, 5)
1.0197391164462821	1 3 4 5 6 7 	(3, 3, 1, 3, 4, 5)
1.028990579409245	1 3 4 5 6 7 	(3, 3, 1, 3, 3, 5)
1.0332381548715732	1 3 4 5 6 7 	(2, 3, 2, 1, 2, 5)
1.0336325297053135	1 2 3 4 5 6 7 	(1, 1, 3, 2, 1, 1, 5)
1.0336325297053135	1 3 4 5 6 7 	(2, 3, 1, 2, 1, 4)
1.0370748068490208	1 3 4 5 6 7 	(1, 2, 3, 2, 3, 5)
1.0380344901212757	1 3 4 5 6 7 	(1, 3, 1, 2, 3, 5)
1.0410212044129357	1 3 4 5 6 7 	(1, 1, 2, 1, 3, 4)
1.0410212044129357	2 3 4 6 7 	(1, 1, 3, 3, 5)
1.0428489168048618	1 3 4 5 6 7 	(1, 2, 3, 1, 3, 5)
1.0430488280934627	2 3 4 5 6 7 	(1, 3, 3, 1, 2, 5)
1.0430488280934627	1 3 4 5 6 7 	(1, 3, 2, 2, 2, 4)
1.043673565913228	1 3 4 5 6 7 	(3, 4, 1, 2, 3, 5)
1.0439400288860523	1 3 4 5 6 7 	(2, 2, 2, 1, 3, 5)
1.0451126149444294	1 3 4 5 6 7 	(2, 2, 1, 2, 3, 5)
1.0499978295303127	2 3 4 6 7 	(1, 2, 3, 3, 5)
1.0499978295303127	1 3 4 5 6 7 	(1, 2, 2, 1, 3, 4)
1.0523154205112162	1 3 4 5 6 7 	(3, 5, 1, 4, 2, 5)
1.0544752523835472	1 3 4 5 6 7 	(2, 2, 1, 1, 4, 5)
1.054636832912939	1 3 4 5 6 7 	(3, 4, 1, 3, 4, 5)
1.0587649513168145	2 3 4 5 6 7 	(1, 2, 2, 1, 3, 5)
