nodeA	nodeB	AtoB	BtoA	Total	Type	Notes
28L	32R	501	399	900	s	
37R	38L	353	353	706	a	
16R	17L	627	69	696	s	
14R	15L	346	346	692	a	
15R	16L	336	335	671	a	
13R	14L	314	314	628	a	
38R	39L	265	265	530	a	
3R	4L	264	264	528	a	
16L	23L	242	268	510	s	
28R	29L	248	248	496	a	
4R	5L	243	243	486	a	
8R	9L	242	242	484	a	
21R	22L	227	227	454	a	
42R	43L	227	226	453	a	
35R	36L	224	224	448	a	
18R	19L	211	211	422	a	
34L	40L	282	138	420	s	
39R	40L	209	209	418	a	
40R	41L	209	209	418	a	
31R	32L	205	204	409	a	
19R	20L	196	194	390	a	
9L	27R	169	214	383	s	
29R	30.aL	185	185	370	a	changed nodeB from 30L to 30.aL
13R	15L	216	151	367	s	
1R	2L	174	174	348	a	
2R	3L	162	162	324	a	
4L	25R	168	154	322	s	
34R	35L	161	161	322	a	
19L	25L	170	133	303	s	
21L	44R	0	296	296	s	
2R	26L	109	162	271	s	
22R	36R	121	130	251	s	
31R	37L	105	90	195	s	
33R	38L	0	177	177	s	
6R	7L	67	67	134	a	
7R	8L	64	60	124	a	
9R	10L	60	60	120	a	
41R	42L	59	58	117	a	
12L	26R	0	116	116	s	
31L	35L	1	106	107	s	
43R	44L	50	49	99	a	
30.bR	31L	46	46	92	a	changed nodeA from 30R to 30.bR
5R	6L	28	28	56	a	
12R	13L	28	28	56	a	
17R	18L	28	28	56	a	
10R	11L	24	23	47	a	
11R	12L	20	21	41	a	
19R	24R	53	105	158	d	
29L	35R	118	222	340	b	
6R	40R	54	214	268	b	
10R	43L	24	97	121	b	
23R	33L	39	72	111	b	
2L	29R	NA	NA	NA	s	inaccurate boundary of 29R. recovered by examining the Blat results around 2L boundary
14R	24L	NA	NA	NA	s	inaccurate boundary of 14R. recovered by examining the Blat results around 24L boundary. 24L actually connects to 15headR
30.bL	38R	NA	NA	NA	s	recovered by examining the Blat results around 38R boundary
17R	30.aR	NA	NA	NA	d	recovered by examining the reads around 17R boundary
30.aR	30.bL	NA	NA	NA	a	seg30 is split into seg30.a and seg30.b
1L	20R	NA	NA	NA	c	uncovered by Chromium data
5L	27L	NA	NA	NA	c	uncovered by Chromium data
5R	21R	NA	NA	NA	c	uncovered by Chromium data
