Pearson_cc	cycle_cover	cycle_abundance	P-value
0.974943610194	1 3 5 6 7 	(1, 2, 1, 2, 1)	3.69717546694e-19
0.973111394953	1 3 4 5 6 7 	(1, 1, 1, 1, 2, 1)	9.48327405601e-19
0.969729358171	1 3 4 5 6 7 	(1, 2, 1, 2, 2, 1)	4.60175021986e-18
0.96956676788	1 3 4 5 6 7 	(1, 1, 1, 1, 2, 2)	4.94212427181e-18
0.965373573236	1 3 4 5 6 7 	(1, 2, 1, 1, 2, 1)	2.75402458889e-17
0.964641158269	1 3 5 6 7 	(1, 1, 1, 2, 2)	3.6375399003e-17
0.962408653178	1 3 4 5 6 7 	(1, 1, 1, 2, 2, 2)	8.20421629327e-17
0.959908056551	1 3 4 5 6 7 	(1, 2, 1, 2, 2, 2)	1.92837984111e-16
0.959477016386	1 3 5 6 7 	(1, 1, 1, 1, 1)	2.22219297218e-16
0.959477016386	2 3 4 6 7 	(1, 1, 1, 2, 1)	2.22219297218e-16
0.959477016386	1 3 5 6 7 	(2, 2, 2, 2, 2)	2.22219297218e-16
0.958878443867	1 3 5 6 7 	(2, 2, 2, 2, 1)	2.6990516461e-16
0.957911478997	1 3 5 6 7 	(1, 1, 1, 2, 1)	3.67276155828e-16
0.957485161209	1 3 5 6 7 	(1, 2, 2, 2, 1)	4.19742309064e-16
0.953081999	1 3 4 5 6 	(1, 2, 1, 1, 2)	1.54674420863e-15
0.951254516728	1 3 5 6 7 	(1, 2, 2, 2, 2)	2.56290213145e-15
0.950475481468	1 3 5 6 	(1, 2, 1, 2)	3.15994333157e-15
0.947968597791	1 3 4 5 6 7 	(2, 2, 1, 2, 2, 2)	6.06332354784e-15
0.947464402326	1 3 4 5 6 7 	(2, 2, 1, 2, 2, 1)	6.88567682492e-15
0.946453592243	1 3 4 5 6 7 	(1, 1, 2, 2, 2, 2)	8.85250642813e-15
0.945648525505	1 3 4 5 6 7 	(1, 2, 2, 2, 2, 1)	1.07764509567e-14
0.945325179948	1 3 4 5 6 7 	(1, 1, 1, 2, 2, 1)	1.16523901997e-14
0.944628259478	1 3 4 5 6 	(1, 2, 1, 2, 2)	1.37680107333e-14
0.941790419634	1 3 5 6 7 	(1, 2, 1, 2, 2)	2.65797720975e-14
0.940876397213	1 3 4 5 6 7 	(1, 2, 2, 2, 2, 2)	3.26232377e-14
0.940402021826	1 3 4 5 6 7 	(1, 2, 1, 1, 2, 2)	3.62367949941e-14
0.937513838413	1 3 5 6 7 	(1, 1, 2, 2, 2)	6.74693341128e-14
0.93555512988	1 3 5 6 7 	(2, 2, 1, 2, 1)	1.01152253477e-13
0.93322112375	1 3 4 5 6 7 	(1, 1, 2, 2, 2, 1)	1.61245500276e-13
0.933139151134	1 3 4 5 6 7 	(1, 1, 2, 1, 2, 2)	1.6385764848e-13
0.932810662218	1 3 4 5 6 7 	(2, 1, 1, 2, 2, 2)	1.74721297448e-13
0.929609239961	1 3 4 5 6 7 	(1, 1, 1, 2, 1, 1)	3.21299618855e-13
0.929609239961	2 3 4 5 6 7 	(1, 1, 2, 1, 2, 1)	3.21299618855e-13
0.928661116352	1 3 4 5 6 7 	(1, 1, 2, 1, 2, 1)	3.82720004005e-13
0.928532137511	1 3 5 6 7 	(1, 2, 2, 1, 1)	3.91863863381e-13
0.928532137511	2 3 4 5 6 7 	(1, 2, 1, 1, 2, 1)	3.91863863381e-13
0.926819035348	1 3 5 6 7 	(2, 1, 2, 2, 2)	5.34002426566e-13
0.925525234718	1 3 4 5 6 	(1, 2, 2, 2, 2)	6.71294240676e-13
0.923197698726	1 3 5 6 7 	(2, 2, 1, 2, 2)	1.00290061205e-12
0.92311932094	1 3 4 5 6 7 	(1, 1, 1, 2, 1, 2)	1.01632618494e-12
0.92311932094	2 3 4 5 6 7 	(1, 1, 2, 1, 2, 2)	1.01632618494e-12
0.922898365245	1 3 4 5 6 7 	(1, 2, 2, 1, 2, 1)	1.05507005483e-12
0.922204794251	2 3 4 5 6 7 	(1, 2, 2, 1, 2, 1)	1.1856917281e-12
0.922204794251	1 3 4 5 6 7 	(1, 2, 1, 2, 1, 1)	1.1856917281e-12
0.919717399147	2 3 4 5 6 7 	(1, 1, 1, 1, 2, 1)	1.78643124141e-12
0.919717399147	1 3 5 6 7 	(1, 1, 2, 1, 1)	1.78643124141e-12
0.919237248165	2 3 4 5 6 	(1, 2, 1, 1, 2)	1.9305858359e-12
0.919237248165	1 3 5 6 	(1, 2, 2, 1)	1.9305858359e-12
0.918701617845	2 3 4 5 6 7 	(1, 2, 2, 2, 2, 1)	2.10397896215e-12
0.917978430532	1 3 4 5 6 7 	(1, 1, 1, 1, 1, 1)	2.36085484604e-12
0.917978430532	1 3 4 5 6 7 	(2, 2, 2, 2, 2, 2)	2.36085484604e-12
