Pearson_cc	cycle_cover	cycle_abundance	P-value
0.99499712401	1 3 4 5 6 7 	(3, 5, 2, 3, 4, 8)	1.48919761561e-28
0.994559178392	1 2 3 4 5 6 7 	(1, 1, 4, 3, 1, 3, 8)	4.61155232117e-28
0.994559178392	1 3 4 5 6 7 	(2, 4, 2, 2, 3, 7)	4.61155232117e-28
0.994093918283	1 3 4 5 6 7 	(2, 4, 3, 2, 4, 8)	1.39232444085e-27
0.994039689998	1 2 3 4 5 6 7 	(1, 1, 4, 3, 1, 4, 8)	1.57467126812e-27
0.994039689998	1 3 4 5 6 7 	(2, 4, 2, 2, 4, 7)	1.57467126812e-27
0.993714113791	2 3 4 6 7 	(1, 2, 2, 2, 5)	3.22242931498e-27
0.993714113791	1 3 4 5 6 7 	(2, 4, 2, 2, 4, 8)	3.22242931498e-27
0.993714113791	1 3 4 5 6 7 	(1, 2, 1, 1, 2, 4)	3.22242931498e-27
0.993454486402	2 3 4 6 7 	(2, 3, 3, 3, 7)	5.55671118004e-27
0.993454486402	1 3 4 5 6 7 	(2, 3, 1, 2, 3, 5)	5.55671118004e-27
0.993454486402	1 2 3 4 5 6 7 	(1, 1, 3, 2, 1, 3, 6)	5.55671118004e-27
0.993454243404	1 3 4 5 6 7 	(3, 5, 2, 2, 4, 8)	5.55948884001e-27
0.993213080159	2 3 4 6 7 	(2, 3, 4, 3, 8)	9.0478904174e-27
0.993213080159	1 2 3 4 5 6 7 	(1, 1, 3, 3, 1, 3, 7)	9.0478904174e-27
0.993213080159	1 3 4 5 6 7 	(2, 3, 2, 2, 3, 6)	9.0478904174e-27
0.992944321264	1 3 4 5 6 7 	(3, 5, 2, 3, 5, 8)	1.5260126047e-26
0.992863298632	1 3 4 5 6 7 	(3, 4, 2, 2, 4, 8)	1.7794899057e-26
0.992713579173	1 2 3 4 5 6 7 	(1, 1, 3, 3, 1, 4, 8)	2.35310747415e-26
0.992713579173	1 3 4 5 6 7 	(2, 3, 2, 2, 4, 7)	2.35310747415e-26
0.992683444879	1 2 3 4 5 6 7 	(2, 1, 4, 3, 2, 4, 8)	2.48749802131e-26
0.992683444879	1 3 4 5 6 7 	(3, 4, 2, 3, 4, 7)	2.48749802131e-26
0.992669839014	1 3 4 5 6 7 	(3, 4, 2, 3, 5, 8)	2.55047407055e-26
0.992655219978	1 3 4 5 6 7 	(3, 4, 2, 2, 5, 8)	2.61978187301e-26
0.992623259044	1 3 4 5 6 7 	(2, 4, 2, 2, 3, 6)	2.77742019153e-26
0.992623259044	1 2 3 4 5 6 7 	(1, 1, 4, 3, 1, 3, 7)	2.77742019153e-26
0.992623259044	2 3 4 6 7 	(2, 4, 4, 3, 8)	2.77742019153e-26
0.992603834501	1 3 4 5 6 7 	(3, 5, 2, 3, 3, 7)	2.87746813084e-26
0.992603834501	1 2 3 4 5 6 7 	(2, 1, 5, 3, 2, 3, 8)	2.87746813084e-26
0.992564943196	1 3 4 5 6 7 	(2, 4, 2, 1, 4, 8)	3.08788037e-26
0.99254355489	2 3 4 6 7 	(2, 3, 4, 4, 8)	3.20957812463e-26
0.99254355489	1 3 4 5 6 7 	(2, 3, 2, 2, 4, 6)	3.20957812463e-26
0.99254355489	1 2 3 4 5 6 7 	(1, 1, 3, 3, 1, 4, 7)	3.20957812463e-26
0.992371521415	1 3 4 5 6 7 	(2, 3, 2, 1, 4, 7)	4.36258784044e-26
0.992371521415	1 2 3 4 6 7 	(1, 1, 3, 3, 4, 8)	4.36258784044e-26
0.992279359198	1 3 4 5 6 7 	(3, 5, 2, 2, 3, 8)	5.12765276686e-26
0.992242366328	2 3 4 6 7 	(2, 4, 3, 3, 8)	5.46826713788e-26
0.992242366328	1 3 4 5 6 7 	(2, 4, 1, 2, 3, 6)	5.46826713788e-26
0.992242366328	1 2 3 4 5 6 7 	(1, 1, 4, 2, 1, 3, 7)	5.46826713788e-26
0.992240897998	1 3 4 5 6 7 	(3, 5, 3, 3, 4, 8)	5.48220929983e-26
0.992208429523	1 3 4 5 6 7 	(2, 4, 2, 2, 5, 8)	5.79903990088e-26
0.992076100387	1 3 4 5 6 7 	(2, 4, 3, 2, 5, 8)	7.273760596e-26
0.992074393843	2 3 4 6 7 	(1, 2, 3, 3, 6)	7.29486449098e-26
0.992074393843	1 3 4 5 6 7 	(1, 2, 2, 1, 3, 5)	7.29486449098e-26
0.992017332956	1 3 4 5 6 7 	(3, 6, 2, 3, 3, 8)	8.03400594179e-26
0.991910450687	1 3 4 5 6 7 	(3, 5, 2, 3, 3, 8)	9.60818349285e-26
0.991777989807	1 3 4 5 6 7 	(1, 3, 2, 1, 3, 6)	1.19544629557e-25
0.991777989807	2 3 4 6 7 	(1, 3, 3, 3, 7)	1.19544629557e-25
0.991766384996	1 3 4 5 6 7 	(2, 4, 2, 1, 3, 7)	1.21834418844e-25
0.991766384996	1 2 3 4 6 7 	(1, 1, 4, 3, 3, 8)	1.21834418844e-25
0.991723487926	1 3 4 5 6 7 	(2, 5, 2, 2, 3, 8)	1.30655577426e-25
0.991718754597	1 3 4 5 6 7 	(3, 5, 1, 3, 3, 7)	1.31664295494e-25
0.991718754597	1 2 3 4 5 6 7 	(2, 1, 5, 2, 2, 3, 8)	1.31664295494e-25
0.991697295584	1 3 4 5 6 7 	(2, 5, 2, 2, 4, 8)	1.36328464416e-25
0.991666892367	1 2 3 4 5 6 7 	(2, 1, 4, 2, 1, 4, 8)	1.4319884741e-25
0.991666892367	1 3 4 5 6 7 	(3, 4, 1, 2, 4, 7)	1.4319884741e-25
0.991572309023	1 3 4 5 6 7 	(3, 5, 1, 2, 4, 8)	1.66675346052e-25
0.99157163151	1 3 4 5 6 7 	(2, 3, 3, 2, 5, 8)	1.6685566671e-25
0.991564201692	1 2 3 4 5 6 7 	(2, 1, 5, 3, 2, 4, 8)	1.68844997209e-25
0.991564201692	1 3 4 5 6 7 	(3, 5, 2, 3, 4, 7)	1.68844997209e-25
0.991496793152	1 3 4 5 6 7 	(3, 4, 2, 2, 4, 7)	1.87923338104e-25
0.991496793152	1 2 3 4 5 6 7 	(2, 1, 4, 3, 1, 4, 8)	1.87923338104e-25
0.991439863349	1 3 4 5 6 7 	(3, 5, 1, 3, 4, 7)	2.05569501678e-25
0.991439863349	1 2 3 4 5 6 7 	(2, 1, 5, 2, 2, 4, 8)	2.05569501678e-25
0.991434448876	1 3 4 5 6 7 	(4, 6, 2, 4, 4, 8)	2.07325268129e-25
0.991434448876	1 3 4 5 6 7 	(2, 3, 1, 2, 2, 4)	2.07325268129e-25
0.991434448876	1 2 3 4 5 6 7 	(1, 1, 3, 2, 1, 2, 5)	2.07325268129e-25
0.991434448876	2 3 4 6 7 	(2, 3, 3, 2, 6)	2.07325268129e-25
0.991320235362	1 3 4 5 6 7 	(3, 6, 2, 3, 4, 8)	2.47755388097e-25
0.991295465131	1 3 4 5 6 7 	(3, 4, 3, 3, 5, 8)	2.57435328074e-25
0.991218788715	1 3 4 5 6 7 	(2, 4, 3, 3, 5, 8)	2.89663117985e-25
0.991186686177	1 2 3 4 5 6 7 	(1, 1, 4, 3, 2, 4, 8)	3.04233241359e-25
0.991186686177	1 3 4 5 6 7 	(2, 4, 2, 3, 4, 7)	3.04233241359e-25
0.991135054415	1 3 4 5 6 7 	(3, 5, 1, 3, 4, 8)	3.29096305749e-25
0.991104563604	1 3 4 5 6 7 	(2, 5, 3, 3, 4, 8)	3.44648698145e-25
0.991087651442	1 3 4 5 6 7 	(2, 4, 2, 2, 2, 6)	3.53565552368e-25
0.991087651442	1 3 4 5 6 7 	(1, 2, 1, 1, 1, 3)	3.53565552368e-25
0.991087651442	1 2 3 4 5 6 7 	(1, 1, 4, 3, 1, 2, 7)	3.53565552368e-25
0.991087651442	2 3 4 6 7 	(2, 4, 4, 2, 8)	3.53565552368e-25
0.991087651442	2 3 4 6 7 	(1, 2, 2, 1, 4)	3.53565552368e-25
0.991041504413	1 3 4 5 6 7 	(2, 4, 3, 3, 4, 8)	3.78993967261e-25
0.991024075986	1 3 4 5 6 7 	(3, 5, 1, 2, 3, 7)	3.89030098164e-25
0.991024075986	1 2 3 4 5 6 7 	(2, 1, 5, 2, 1, 3, 8)	3.89030098164e-25
0.990992893887	1 2 3 4 5 6 7 	(1, 1, 3, 4, 1, 4, 8)	4.07602273568e-25
0.990992893887	1 3 4 5 6 7 	(2, 3, 3, 2, 4, 7)	4.07602273568e-25
0.990992361651	1 3 4 5 6 7 	(2, 3, 2, 1, 3, 6)	4.07926279529e-25
0.990992361651	1 2 3 4 6 7 	(1, 1, 3, 3, 3, 7)	4.07926279529e-25
0.990982979354	1 3 4 5 6 7 	(2, 5, 3, 2, 3, 8)	4.13677155342e-25
0.990969167776	1 3 4 5 6 7 	(2, 4, 3, 2, 3, 7)	4.22279578376e-25
0.990969167776	1 2 3 4 5 6 7 	(1, 1, 4, 4, 1, 3, 8)	4.22279578376e-25
0.990895048114	1 3 4 5 6 7 	(4, 6, 1, 4, 4, 8)	4.71341211993e-25
0.990862555489	1 3 4 5 6 7 	(3, 5, 2, 4, 5, 8)	4.94468676819e-25
0.990837394218	1 2 3 4 5 6 7 	(1, 1, 3, 3, 1, 5, 8)	5.13094433937e-25
0.990837394218	1 3 4 5 6 7 	(2, 3, 2, 2, 5, 7)	5.13094433937e-25
0.990770226673	1 3 4 5 6 7 	(2, 4, 1, 2, 2, 5)	5.66042874809e-25
0.990770226673	1 2 3 4 5 6 7 	(1, 1, 4, 2, 1, 2, 6)	5.66042874809e-25
0.990770226673	2 3 4 6 7 	(2, 4, 3, 2, 7)	5.66042874809e-25
0.990753287302	1 2 3 4 5 6 7 	(2, 1, 4, 2, 1, 3, 7)	5.80172021889e-25
0.990753287302	1 3 4 5 6 7 	(3, 4, 1, 2, 3, 6)	5.80172021889e-25
0.990753287302	1 2 3 4 6 7 	(1, 2, 4, 3, 3, 8)	5.80172021889e-25
