cycle_cover	max_abundance	rank	Pearson_cc	cycle_abundance	p_value
1 3 4 5 6 7 	2	2	0.946983916121	(1, 2, 1, 1, 2, 1)	7.76393955364e-15
1 3 4 5 6 7 	3	1	0.975837870433	(1, 2, 1, 1, 1, 3)	2.27551816676e-19
1 3 4 5 6 7 	4	1	0.982428207146	(1, 3, 1, 1, 4, 1)	3.21056084405e-21
1 3 4 5 6 7 	5	1	0.984499805202	(1, 3, 2, 1, 2, 5)	5.97570383788e-22
1 3 4 5 6 7 	6	1	0.986879384211	(1, 4, 2, 1, 2, 6)	6.38661913526e-23
1 3 4 5 6 7 	7	1	0.987858927792	(1, 4, 2, 1, 7, 3)	2.2534525194e-23
1 3 4 5 6 7 	8	1	0.988350642534	(1, 4, 3, 1, 3, 8)	1.29331446262e-23
1 3 4 5 6 7 	9	1	0.989376114925	(1, 5, 3, 1, 3, 9)	3.75022389279e-24
1 3 4 5 6 7 	10	1	0.989376114925	(1, 5, 3, 1, 9, 3)	3.75022389279e-24
1 3 4 5 6 7 	11	1	0.989745003125	(1, 6, 4, 1, 4, 11)	2.33237298112e-24
1 3 4 5 6 7 	12	1	0.989745003125	(1, 6, 4, 1, 11, 4)	2.33237298112e-24
1 3 4 5 6 7 	13	1	0.989745003125	(1, 6, 4, 1, 4, 11)	2.33237298112e-24
1 3 4 5 6 7 	14	1	0.989922276181	(1, 7, 5, 1, 14, 5)	1.84506396762e-24
1 3 4 5 6 7 	15	2	0.989922276181	(1, 7, 5, 1, 5, 14)	1.84506396762e-24
1 3 4 5 6 7 	16	1	0.990062080587	(1, 8, 6, 1, 16, 6)	1.5291920931e-24
1 3 4 5 6 7 	17	1	0.990062080587	(1, 8, 6, 1, 6, 16)	1.5291920931e-24
