nodeA	nodeB	AtoB	BtoA	Total	Type	Notes
8R	9L	789	789	1578	a	
9R	10L	750	749	1499	a	
9R	19L	663	597	1260	s	
9L	27R	330	628	958	s	
19R	20L	465	466	931	a	
25R	26L	376	376	752	a	
24R	25L	343	343	686	a	
26R	27L	327	327	654	a	
17R	18L	547	70	617	s	
22R	23L	301	301	602	a	
14R	15L	252	252	504	a	
15R	16L	248	241	489	a	
4L	11L	180	149	329	s	
10R	14R	128	139	267	s	
19R	22R	90	172	262	s	
22L	25L	0	252	252	s	
2R	12R	108	126	234	s	
3R	6R	105	122	227	s	
1L	2L	172	0	172	s	
13R	14L	51	50	101	a	
16L	27L	0	95	95	s	
28R	29L	42	42	84	a	
16R	17L	40	41	81	a	
5R	14L	80	0	80	s	
20R	29R	0	60	60	s	
21R	22L	22	23	45	a	
20R	21L	21	21	42	a	
23R	24L	14	26	40	a	Recovered by checking coverage on IGV
1R	3L	0	25	25	s	
4R	5L	8	8	16	a	
7R	8L	2	2	4	a	
11R	12L	2	2	4	a	
25R	28L	0	73	73	d	very important. notice that there exists a tiny piece of seg26R in between
16R	24L	0	59	59	d	
6L	7L	47	105	152	b	
18R	13L	NA	NA	NA	c	uncovered by Chromium data
