Name	Coordinates	LogRatio	Length
1	7:54770501-54782500	4.392	12000
2	7:54782501-54879400	4.899	96900
3	7:54879401-54894700	4.394	15300
4	7:54894701-54952700	4.927	58000
5	7:54952701-54958900	5.363	6200
6	7:54958901-54980100	4.901	21200
7	7:54980101-54982000	4.549	1900
8	7:54982001-55081900	4.373	99900
9	7:55081901-55088200	4.667	6300
10	7:55088201-55123300	4.921	35100
11	7:55123301-55129200	4.47	5900
12	7:55129201-55204600	4.848	75400
13	7:55204601-55205000	5.14	400
14	7:55205001-55221900	4.145	16900
15	7:55221901-55324100	4.58	102200
16	7:55324101-55469200	5.257	145100
17	7:62496401-62514500	5.062	18100
18	7:62514501-62549000	4.294	34500
19	7:62549001-62564600	4.858	15600
20	7:62564601-62649500	4.327	84900
21	7:89628601-89635600	4.384	7000
22	7:89635601-89794200	3.489	158600
23	7:90023101-90091700	4.108	68600
24	7:90919501-90948500	3.468	29000
25	7:91001601-91035300	3.501	33700
26	7:91078101-91104300	3.434	26200
27	7:91111701-91205700	3.489	94000
28	7:91886101-91977000	5.35	90900
29	7:91977001-92152600	5.579	175600
30	7:92152601-92412500	5.334	259900
31	7:92412501-92459400	5.557	46900
32	7:92459401-92526100	5.334	66700
33	7:92576501-92590800	4.089	14300
34	7:92929701-93044600	3.479	114900
35	7:93044601-93064400	4.179	19800
36	7:93064401-93129700	3.076	65300
37	7:93275501-93290700	3.053	15200
38	7:93290701-93359800	4.602	69100
39	7:93359801-93455400	3.044	95600
40	7:93455401-93477500	4.2	22100
41	7:93477501-93496200	3.024	18700
42	7:93496201-93634300	3.446	138100
43	7:93634301-93634400	4.137	100
44	7:93634401-93676200	4.37	41800
