Name	Coordinates	LogRatio	Length
1	7:39535501-39591000	4.27	55500
2	7:39603401-39674600	4.191	71200
3	7:41068101-41095100	4.257	27000
4	7:41965001-42077100	4.485	112100
5	7:42077101-42079000	4.298	1900
6	7:42394101-42486000	4.283	91900
7	7:42684401-42685000	4.072	600
8	7:42685001-42743500	4.248	58500
9	7:42743501-42770600	6.607	27100
10	7:42770601-42781000	4.384	10400
11	7:42794301-42831000	4.404	36700
12	7:42831001-42937900	4.158	106900
13	7:54770501-54827200	6.049	56700
14	7:54827201-54946700	6.424	119500
15	7:54946701-55260600	6.122	313900
16	7:55260601-55342600	6.591	82000
17	7:55342601-55469200	6	126600
18	7:62496501-62649500	5.97	153000
19	7:91631401-91670300	6.299	38900
20	7:91670301-91690600	5.786	20300
21	7:91690601-91978500	4.965	287900
22	7:91978501-91994800	5.869	16300
23	7:91994801-92101200	5.018	106400
24	7:92101701-92216200	6.002	114500
25	7:92216201-92393400	6.47	177200
26	7:92393401-92455200	5.825	61800
27	7:92455201-92537100	6.35	81900
28	8:128736401-128842600	5.195	106200
29	8:128842601-129168500	5.013	325900
